128 0 0 0.0 0.0 82.22 0.0501606 0.0207529  {'frags': 0, 'damage': 0} 
6912 22 22 -1.3214110968052704 -1.3214110968052704 85.19 -0.000236 0.0188304  {'frags': 0, 'damage': 1} 
7040 23 23 -1.3256699834403383 -1.3256699834403383 85.9 -0.0002829 0.0184289  {'frags': 0, 'damage': 1} 
7168 23 23 -1.3256699834403383 -1.3256699834403383 84.53 -0.0011548 0.0179229  {'frags': 0, 'damage': 1} 
7296 24 24 -1.3296529863375712 -1.3296529863375712 84.39 0.0039821 0.0170673  {'frags': 0, 'damage': 1} 
7424 25 25 -1.3373876890432423 -1.3373876890432423 85.96 0.0078741 0.0172186  {'frags': 0, 'damage': 1} 
7552 26 26 -1.3492989191814255 -1.3492989191814255 84.44 0.008363 0.0182428  {'frags': 0, 'damage': 1} 
7680 26 26 -1.3492989191814255 -1.3492989191814255 84.58 0.0059909 0.0185367  {'frags': 0, 'damage': 1} 
7808 27 27 -1.3427690205911949 -1.3427690205911949 84.69 0.0062916 0.017626  {'frags': 0, 'damage': 1} 
7936 27 27 -1.3427690205911949 -1.3427690205911949 86.26 0.0120425 0.0167628  {'frags': 0, 'damage': 2} 
8064 28 28 -1.340792122033662 -1.340792122033662 82.11 0.0024371 0.0174813  {'frags': 0, 'damage': 1} 
8192 28 28 -1.340792122033662 -1.340792122033662 83.95 0.0062065 0.0177446  {'frags': 0, 'damage': 1} 
8320 29 29 -1.3402629104052013 -1.3402629104052013 86.01 -0.0016157 0.0175143  {'frags': 0, 'damage': 1} 
8448 29 29 -1.3402629104052013 -1.3402629104052013 84.49 -0.0007201 0.018197  {'frags': 0, 'damage': 1} 
8576 29 29 -1.3402629104052013 -1.3402629104052013 84.68 -0.0023026 0.0178008  {'frags': 0, 'damage': 1} 
8704 29 29 -1.3402629104052013 -1.3402629104052013 84.33 -0.0119715 0.0167898  {'frags': 0, 'damage': 1} 
8832 30 30 -1.3371866133201182 -1.3371866133201182 86.58 -0.0063861 0.0219338  {'frags': 0, 'damage': 1} 
8960 30 30 -1.3371866133201182 -1.3371866133201182 84.25 0.000196 0.0182672  {'frags': 0, 'damage': 1} 
