128 0 0 0.0 0.0 32.17 0.1818011 0.0032101 -0.8994165 0.7842413 0.0990718 1.238112 0.0 0.5372103 0.0716033 49.8657453 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 33.32 0.0332884 0.009733 0.0023319 0.1421629 0.0818408 1.2204131 0.0 0.476864 0.1183383 78.2929061 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 32.33 0.0198012 0.0141652 0.1648852 0.1167446 0.0493852 1.1580197 0.0 0.5448283 0.146692 88.7658484 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 32.79 0.0108318 0.0076797 0.4508466 0.0919295 0.0315111 1.1162118 0.0 0.5806024 0.1567673 92.7368119 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 32.16 0.0077388 0.0051817 0.6096973 0.0621357 0.023796 1.0835111 0.0 0.6359602 0.1662775 94.3943627 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 33.52 0.0057941 0.0034346 0.7414769 0.0547596 0.0178612 1.0536372 0.0 0.6901711 0.163035 95.4425656 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 37.35 0.0044236 0.0026197 0.7828539 0.0392413 0.0151591 1.0392044 0.0 0.7338901 0.1661375 95.6510285 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 42.57 0.0036674 0.0020548 0.7882051 0.0280804 0.013955 1.034024 0.0 0.7864262 0.1731069 95.8499857 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 3 3 0.0 0.0 43.0 0.0033939 0.0018743 0.7738126 0.020387 0.0125325 1.0349343 0.0 0.8040838 0.1803266 95.7243653 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 42.22 0.0033412 0.0018978 0.7902841 0.0179857 0.0120372 1.0198157 0.0 0.859531 0.1739446 96.1399014 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 42.69 0.0028816 0.0017283 0.7544207 0.0119862 0.0115382 1.0222363 0.0 0.8977809 0.1781241 96.5741744 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 48.2 0.0029655 0.0017741 0.7508215 0.0085912 0.0113597 1.0209455 0.0 0.9417902 0.1859705 96.345269 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 57.69 0.0029769 0.0016793 0.7331585 0.0070705 0.0112911 1.0111945 0.0 1.014879 0.1812945 96.3723805 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 57.08 0.0025703 0.0016121 0.7245822 0.0045785 0.0104259 1.0328994 0.0 1.0263937 0.1963087 95.9256114 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 58.47 0.0025241 0.0014352 0.7135059 0.0035749 0.0104208 1.0429192 0.0 1.0436364 0.1993591 95.7417759 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 59.1 0.0025459 0.0014509 0.7225633 0.0029752 0.0099267 1.0311093 0.0 1.0819195 0.1908491 96.026997 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 58.81 0.0028116 0.0016909 0.6479404 0.0026042 0.0101744 1.0073926 0.0 1.1914795 0.1847405 96.298316 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 58.77 0.002572 0.0017079 0.6313149 0.0022615 0.0099063 1.0037087 0.0 1.233022 0.1831072 96.3702395 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 58.6 0.0024485 0.0015712 0.6781499 0.0021073 0.0099226 0.9984296 0.0 1.25398 0.1794606 96.0864847 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 3 3 0.0 0.0 59.75 0.0025569 0.0015843 0.598316 0.0019397 0.0097487 1.0008274 0.0 1.3259546 0.1847421 95.9094202 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 3 3 0.0 0.0 59.63 0.0023183 0.0013683 0.6162397 0.0017958 0.0097315 0.9949262 0.0 1.3621456 0.1847674 96.2693881 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 3 3 0.0 0.0 61.54 0.0025932 0.0017101 0.3983336 0.0018299 0.0101523 0.9786764 0.0 1.4063312 0.1742109 96.7321704 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 3 3 0.0 0.0 63.1 0.0025141 0.0018761 0.4910049 0.0015809 0.010009 0.9774653 0.0 1.466043 0.1864063 96.5187252 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 3 3 0.0 0.0 62.8 0.0027255 0.0021505 0.4430338 0.0017956 0.0100984 0.9630775 0.0 1.5316321 0.1760385 96.2478925 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 4 4 0.0 0.0 61.39 0.0026923 0.0022313 0.3166718 0.0015329 0.0103601 0.9571868 0.0 1.538567 0.1727565 96.6209929 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 4 4 0.0 0.0 62.35 0.0025175 0.0016516 0.4070102 0.0015419 0.0101769 0.9526345 0.0 1.6663573 0.1652993 96.5913121 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 4 4 0.0 0.0 61.27 0.002632 0.0019402 0.2187994 0.0012141 0.0097463 0.9480391 0.0 1.7170814 0.1578003 96.3624681 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 4 4 0.0 0.0 62.33 0.0027335 0.0020107 -0.0017537 0.0010654 0.0102566 0.9445329 0.0 1.7599178 0.1631434 96.8638172 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 4 4 0.0 0.0 63.78 0.0026313 0.0017961 0.0314318 0.0010081 0.0100369 0.9402236 0.0 1.7589118 0.1703775 96.649212 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 4 4 0.0 0.0 60.71 0.0027331 0.0021114 -0.1186211 0.0010435 0.0104331 0.9328834 0.0 1.8022644 0.1668449 96.4040886 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 5 5 0.0 0.0 60.2 0.0029823 0.0021875 -0.259883 0.0011348 0.0106902 0.9277389 0.0 1.7702079 0.162164 95.7790064 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 5 5 0.0 0.0 60.74 0.0027178 0.001871 -0.0980656 0.0010454 0.0103467 0.9248189 0.0 1.7947686 0.1717213 96.5972609 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 5 5 0.0 0.0 59.88 0.0026765 0.002065 -0.0261824 0.0010841 0.0101247 0.9223751 0.0 1.7720407 0.1647448 96.3995596 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 6 6 0.0 0.0 60.39 0.0025133 0.0016017 0.0861379 0.0008815 0.0098833 0.9234786 0.0 1.8828404 0.1728578 96.1000782 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 6 6 0.0 0.0 59.16 0.0025407 0.0015255 -0.0120585 0.0009097 0.0098158 0.9150397 0.0 1.8978037 0.1657753 96.3182306 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 7 7 0.0 0.0 59.15 0.0026496 0.0017873 -0.1175671 0.0009836 0.0100846 0.9249262 0.0 1.9080031 0.1755992 96.3785055 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 7 7 0.0 0.0 59.59 0.0024606 0.001371 0.0275763 0.00089 0.0098952 0.9109322 0.0 1.910578 0.1737884 96.9706339 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 7 7 0.0 0.0 60.09 0.0026065 0.0013948 -0.0577737 0.0007535 0.0097156 0.9089283 0.0 1.9558322 0.1730839 97.1406531 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 8 8 0.0 0.0 59.9 0.0024493 0.0014615 0.0189193 0.000782 0.0093827 0.9054964 0.0 2.008465 0.1670091 96.6422987 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 8 8 0.0 0.0 57.84 0.002488 0.0015686 -0.0985241 0.0006814 0.0095457 0.9037224 0.0 1.9804614 0.1679518 96.8147587 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 8 8 0.0 0.0 58.37 0.0025225 0.0018074 -0.1325452 0.0007587 0.0096377 0.9004338 0.0 1.9786005 0.1670216 96.7626491 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 8 8 0.0 0.0 56.6 0.0023583 0.0013522 -0.059181 0.000622 0.0090692 0.9021085 0.0 2.0928374 0.1686841 96.4211657 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
