0 0.0 0.0 0.0 0.46 0.0155322 0.0 0.002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.52344 0.0 0.0 12.86 0.7695945 0.0253081 0.0565229 0.0240626 -0.0027846 5.984603 1.6942463 1.310236 0.5221026 0.1325141 0.6247326 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00018} 
256 0.84375 0.0 0.0 10.58 0.1122944 0.0299722 0.056564 0.0293851 -0.006013 1.3556657 1.6706954 1.3671835 0.6416314 0.079594 0.6039091 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00034} 
384 0.92969 0.0 0.0 8.57 0.0383563 0.0128587 0.0556231 0.0268498 -0.0015526 0.5130491 1.6619935 1.3699386 0.6714649 0.055546 0.5735795 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00039} 
512 0.98438 0.0 0.0 10.65 0.0275261 0.0125913 0.0534644 0.0268776 -0.002445 0.3727785 1.6645864 1.3641839 0.6813706 0.0482124 0.5491376 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00046} 
640 1.03125 0.0 0.0 11.19 0.0284847 0.0312847 0.0480922 0.0267202 -0.0016728 0.3308153 1.6589196 1.3457996 0.6733587 0.0430731 0.5705761 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00051} 
768 1.14844 0.0 0.0 11.24 0.022127 0.0173746 0.0411186 0.0260345 -0.0016008 0.3665281 1.6616099 1.3427569 0.6781366 0.036 0.56288 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00061} 
896 1.22656 0.0 0.0 11.32 0.0182689 0.0125573 0.0541491 0.0264302 -0.0033568 0.2878623 1.6573794 1.341364 0.6792353 0.0311714 0.570262 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00067} 
1024 1.25781 0.0 0.0 10.67 0.0185999 0.0156001 0.0558596 0.0264302 -0.0042986 0.2256705 1.6574201 1.3230596 0.6774431 0.0295261 0.5671348 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0007} 
1152 1.39844 0.0 0.0 10.93 0.0188373 0.0136011 0.0586073 0.0260819 -0.0036241 0.3225494 1.6585852 1.3074815 0.6547982 0.0301524 0.5952231 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00092} 
1280 1.60156 0.0 0.0 12.41 0.0222287 0.0347678 0.0557397 0.0293016 -0.0027914 0.3871691 1.6605054 1.2923712 0.6242678 0.0315686 0.6240749 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0012} 
