0 0.0 0.0 0.0 0.46 0.0155322 0.0 0.002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
1408 1.875 0.0 0.0 12.97 0.0171891 0.0183068 0.0526213 0.02738 -0.0041737 0.3852024 1.66008 1.2840884 0.5560879 0.0274734 0.6768876 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00155} 
1536 2.125 0.0 0.0 11.19 0.0146811 0.0164181 0.0581359 0.0272101 -0.0037497 0.3544695 1.6621808 1.2700307 0.5189055 0.0246713 0.7220853 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00174} 
1664 2.22656 0.0 0.0 9.26 0.011247 0.0121745 0.0509695 0.0272687 -0.0032969 0.2112326 1.6088071 1.2597098 0.5335344 0.0199381 0.7172845 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00185} 
1792 2.28125 0.0 0.0 11.03 0.011012 0.0254237 0.048232 0.0260263 -0.003049 0.176346 1.5751065 1.2561161 0.5918537 0.0163277 0.6721654 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00186} 
1920 2.39062 0.0 0.0 10.77 0.0079597 0.0101302 0.0490688 0.0243629 -0.0024504 0.1761112 1.5713166 1.255805 0.6038283 0.0139121 0.661837 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00183} 
2048 2.42969 0.0 0.0 10.6 0.0063346 0.0076235 0.0560612 0.0256794 -0.0035378 0.1351782 1.5711056 1.2543741 0.6074337 0.0113456 0.6594358 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00183} 
2176 2.46875 0.0 0.0 12.75 0.0048692 0.0055074 0.0495937 0.0236376 -0.0023074 0.1290211 1.5711824 1.2545602 0.6128972 0.0093701 0.6611092 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00185} 
2304 2.49219 0.0 0.0 11.08 0.0036025 0.0030223 0.0552482 0.0230371 -0.0018445 0.1087757 1.5710718 1.2719092 0.6288943 0.0069811 0.638554 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00194} 
2432 2.49219 0.0 0.0 11.73 0.0030037 0.0030322 0.0510808 0.0233533 -0.0021607 0.091442 1.5763732 1.2883093 0.6513999 0.0056492 0.6114344 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00194} 
2560 2.49219 0.0 0.0 13.07 0.0027821 0.0031575 0.0524409 0.0221998 -0.0023573 0.0842796 1.5784814 1.2836884 0.6559725 0.005018 0.6064987 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00194} 
2688 2.50781 0.0 0.0 12.05 0.0028559 0.002991 0.0517456 0.0219416 -0.0036976 0.087471 1.573027 1.270776 0.6524777 0.0051679 0.6099775 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00193} 
2816 2.55469 0.0 0.0 11.81 0.003626 0.0041539 0.0542967 0.0233643 -0.0020095 0.1003174 1.5700831 1.2527406 0.6474174 0.0060885 0.6156736 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00195} 
2944 2.61719 0.0 0.0 11.48 0.0035859 0.0040388 0.0531351 0.0247755 -0.002362 0.0928971 1.5742776 1.2463526 0.6454673 0.0064374 0.6173677 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00196} 
3072 2.74219 0.0 0.0 11.0 0.0040968 0.0043944 0.054325 0.0266227 -0.0035559 0.117556 1.5764504 1.2392398 0.6102393 0.0070829 0.6360301 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00198} 
3200 2.875 0.0 0.0 9.76 0.0056124 0.0067587 0.0543321 0.0257748 -0.0032672 0.1182996 1.5281681 1.2349782 0.5698149 0.009414 0.6849314 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00199} 
3328 3.07031 0.0 0.0 11.14 0.0063898 0.0092504 0.0545977 0.0258323 -0.0021565 0.1230195 1.5185719 1.2266618 0.484886 0.0100861 0.7459693 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00193} 
3456 3.24219 0.0 0.0 9.74 0.0063575 0.0130229 0.0596874 0.0264918 -0.0023722 0.1425876 1.5147565 1.2194452 0.4104268 0.0105852 0.7957035 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0019} 
3584 3.38281 0.0 0.0 9.83 0.0079091 0.0255659 0.0567872 0.0274459 -0.002542 0.1296661 1.5150724 1.2135164 0.3937368 0.0110815 0.8045731 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00189} 
3712 3.65625 0.0 0.0 10.56 0.0084081 0.0274018 0.0587531 0.0276739 -0.0018019 0.1734825 1.5117011 1.2191368 0.3274989 0.0123076 0.8460428 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00178} 
3840 3.89844 0.0 0.0 11.81 0.0078853 0.0191122 0.0624563 0.0274094 -0.0034148 0.1739142 1.5123427 1.2182079 0.2935788 0.0119131 0.8639829 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00172} 
3968 4.11719 0.0 0.0 11.34 0.0071058 0.0109032 0.065539 0.0268504 -0.0030289 0.1645471 1.4909722 1.2170599 0.2696561 0.0119293 0.8746813 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00164} 
4096 4.35938 0.0 0.0 11.95 0.0099603 0.0214055 0.0660788 0.0268141 -0.0022442 0.1826566 1.4693901 1.2112154 0.2351242 0.0144423 0.8929248 {} {'explored_rooms_count': 12, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00159} 
4224 4.58594 0.0 0.0 11.51 0.0111126 0.0173924 0.0696705 0.0266053 -0.0025606 0.2003172 1.4654199 1.2045085 0.2084806 0.0161992 0.9067176 {} {'explored_rooms_count': 12, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00151} 
4352 4.78906 0.0 0.0 10.69 0.0128057 0.0221762 0.0685171 0.0270223 -0.0029371 0.2139124 1.466444 1.2036263 0.1975452 0.0178882 0.911688 {} {'explored_rooms_count': 14, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.0015} 
4480 4.96875 0.0 0.0 11.55 0.0143062 0.0235722 0.0666521 0.0261202 -0.0030914 0.2339555 1.4667059 1.1979214 0.1687394 0.0195674 0.9240804 {} {'explored_rooms_count': 15, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00151} 
4608 5.16406 0.0 0.0 11.31 0.0137629 0.0191838 0.0709075 0.0264819 -0.0032685 0.2377822 1.4671071 1.1975054 0.1646699 0.0201586 0.9270151 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00156} 
4736 5.30469 0.0 0.0 10.46 0.0151431 0.026661 0.0682493 0.0261742 -0.002593 0.2244577 1.4644665 1.188679 0.1394234 0.0207309 0.9387731 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00159} 
4864 5.5 0.0 0.0 11.28 0.0117359 0.0118285 0.068434 0.0256343 -0.0027584 0.2345955 1.4653746 1.187078 0.1321099 0.0194929 0.9414737 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00187} 
4992 5.64844 0.0 0.0 11.69 0.0106167 0.0093189 0.0745325 0.0249292 -0.0025047 0.2144107 1.4650855 1.1767253 0.1168733 0.0181598 0.9484381 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00199} 
5120 5.84375 0.0 0.0 10.6 0.0102701 0.0093926 0.0744652 0.0259186 -0.0021953 0.2199522 1.4638928 1.1817268 0.1088207 0.0172998 0.9526898 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00222} 
5248 6.01562 0.0 0.0 14.28 0.0088497 0.00634 0.0796737 0.0217773 -0.0023648 0.1925792 1.4639251 1.177091 0.1034669 0.0155175 0.9550553 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00247} 
5376 6.15625 0.0 0.0 11.77 0.0081257 0.0050006 0.0789507 0.0231029 -0.0026211 0.1918101 1.4636082 1.1826886 0.106302 0.0142701 0.9530534 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00265} 
5504 6.32031 0.0 0.0 11.34 0.007612 0.0045726 0.078574 0.0233292 -0.0032327 0.1783712 1.4623902 1.1737905 0.1112818 0.0137575 0.951671 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00289} 
5632 6.42188 0.0 0.0 11.83 0.0073738 0.0041599 0.0806532 0.0210424 -0.0026134 0.1868834 1.4614172 1.1811597 0.117623 0.0131966 0.9486439 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00302} 
5760 6.53906 0.0 0.0 10.81 0.0069985 0.0036671 0.0810222 0.0215981 -0.0044443 0.1649913 1.4332707 1.1857745 0.1204601 0.0127781 0.947283 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 16, 'episodic_explored_area': 0.00329} 
5888 6.65625 0.0 0.0 9.86 0.0065508 0.0028171 0.0780176 0.0238218 -0.0048618 0.1757731 1.4292054 1.1871281 0.1206607 0.0120797 0.945627 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0034} 
6016 6.72656 0.0 0.0 11.49 0.0063253 0.0025485 0.0745774 0.0252738 -0.0046119 0.161878 1.4265784 1.1931715 0.1320243 0.0114354 0.9378245 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00342} 
6144 6.74219 0.0 0.0 10.89 0.0061033 0.0019803 0.0718084 0.0276844 -0.0056733 0.1116516 1.4300578 1.2117379 0.1753776 0.0115228 0.9121483 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00342} 
6272 6.75781 0.0 0.0 10.48 0.0058974 0.0019665 0.0682393 0.0284962 -0.0049691 0.1119228 1.4347246 1.2404723 0.2230443 0.0107915 0.8800864 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00341} 
6400 6.77344 0.0 0.0 10.32 0.0053305 0.0018977 0.0644904 0.0289996 -0.0097898 0.1019294 1.4380634 1.270218 0.3085591 0.0101588 0.8307063 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0034} 
6528 6.77344 0.0 0.0 10.12 0.004854 0.0018945 0.0621237 0.0275415 -0.0047209 0.0898537 1.446067 1.3086419 0.3819025 0.0092481 0.78948 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0034} 
6656 6.77344 0.0 0.0 11.38 0.0042709 0.0020247 0.0589677 0.0294895 -0.0058923 0.085663 1.4506788 1.3513981 0.4778422 0.0080254 0.73159 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0034} 
6784 6.78125 0.0 0.0 10.98 0.0039757 0.0023919 0.0593514 0.0269544 -0.0039213 0.0774645 1.4551863 1.3623841 0.5358974 0.007473 0.7097628 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0034} 
6912 6.78125 0.0 0.0 9.04 0.0033202 0.001835 0.0540663 0.0275362 -0.0060156 0.0804797 1.4556121 1.3771371 0.5461476 0.0066237 0.7135328 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0034} 
7040 6.78906 0.0 0.0 13.68 0.0034142 0.0025273 0.0519417 0.0274444 -0.00323 0.069109 1.4401086 1.3801898 0.5626204 0.0065088 0.7015782 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00343} 
7168 6.78906 0.0 0.0 9.86 0.0033844 0.0024586 0.0527486 0.0259342 -0.0031522 0.0667137 1.4348397 1.3700741 0.5846438 0.0063315 0.6800153 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00343} 
7296 6.78906 0.0 0.0 10.75 0.0035511 0.0027888 0.050587 0.0274659 -0.0099797 0.0714789 1.4321298 1.3674138 0.6200812 0.0064222 0.6429111 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00343} 
7424 6.80469 0.0 0.0 11.85 0.0042817 0.0038606 0.0513931 0.0262881 -0.0050391 0.0744465 1.430013 1.3496055 0.6406881 0.0072538 0.6175573 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00345} 
7552 6.80469 0.0 0.0 11.43 0.003719 0.0039081 0.0519626 0.025065 -0.0045381 0.0721106 1.4309345 1.3631319 0.6438457 0.0068946 0.5985223 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00345} 
7680 6.80469 0.0 0.0 8.09 0.0041805 0.0042317 0.0529451 0.0224208 -0.0084215 0.0672829 1.429197 1.3538791 0.6413206 0.0075585 0.6055332 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00345} 
7808 6.8125 0.0 0.0 9.9 0.0065379 0.0103683 0.0519822 0.0194477 -0.0057229 0.0813814 1.4284974 1.3517345 0.6376187 0.009962 0.6218501 {} {'explored_rooms_count': 19, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00346} 
7936 6.95312 0.0 0.0 11.08 0.0105944 0.0122758 0.0471945 0.0221677 -0.0036075 0.1506497 1.4277884 1.324531 0.5743096 0.0140277 0.6775268 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00334} 
8064 7.125 0.0 0.0 12.28 0.0112972 0.0088424 0.0482364 0.0248467 -0.0045065 0.1666703 1.4280425 1.3112162 0.500831 0.0153517 0.7243001 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00362} 
8192 7.4375 0.0 0.0 13.68 0.0100193 0.0076684 0.056216 0.0272067 -0.0041132 0.2151762 1.4282604 1.2687771 0.3402044 0.0136041 0.8132456 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00364} 
8320 7.78906 0.0 0.0 12.02 0.0080524 0.0051886 0.0622835 0.0292682 -0.0042765 0.2577995 1.4065296 1.2351692 0.2189245 0.0120311 0.8780688 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00351} 
8448 7.96094 0.0 0.0 10.7 0.0067066 0.0033039 0.0693363 0.0284639 -0.0036851 0.197613 1.3989228 1.2175622 0.1455922 0.010886 0.9210306 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00365} 
8576 8.08594 0.0 0.0 10.57 0.0054767 0.0021921 0.0729256 0.0269336 -0.0033276 0.1595694 1.3975559 1.2144906 0.1387895 0.0098563 0.9310007 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00367} 
8704 8.13281 0.0 0.0 12.19 0.005163 0.0026463 0.0709405 0.0278656 -0.0032051 0.1157457 1.3963704 1.2226019 0.1741137 0.0096001 0.9143914 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00378} 
8832 8.20312 0.0 0.0 10.65 0.0048343 0.0021189 0.0680493 0.0284971 -0.0033117 0.1161783 1.3943131 1.2505269 0.2337857 0.0092079 0.8840462 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00392} 
8960 8.27344 0.0 0.0 9.42 0.0046588 0.0020849 0.0675171 0.0270765 -0.0038719 0.1219539 1.3915049 1.2578818 0.2829961 0.0089138 0.8592845 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00398} 
9088 8.35156 0.0 0.0 10.69 0.0045103 0.0021056 0.0631975 0.0286166 -0.0033294 0.1172794 1.3796082 1.2695365 0.3385871 0.0087392 0.8236407 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00411} 
9216 8.46875 0.0 0.0 10.77 0.0042834 0.0021201 0.0565766 0.0298732 -0.0029647 0.1473657 1.3702167 1.2663678 0.3442681 0.0080234 0.8135047 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00417} 
9344 8.51562 0.0 0.0 10.37 0.003866 0.0019445 0.0645056 0.0282142 -0.0038004 0.1116916 1.3708481 1.2619912 0.3360691 0.0073844 0.8146237 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00432} 
9472 8.55469 0.0 0.0 11.35 0.0037779 0.0017984 0.0621277 0.0287218 -0.006583 0.0961054 1.3692637 1.2619848 0.3550039 0.0073371 0.8049205 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00442} 
9600 8.65625 0.0 0.0 13.73 0.0035395 0.0019631 0.0630881 0.0278225 -0.0036983 0.1293227 1.368009 1.2629192 0.3444189 0.0070233 0.8146939 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00448} 
9728 8.71875 0.0 0.0 11.8 0.0034056 0.0017679 0.0598486 0.0292181 -0.0033922 0.0992578 1.368711 1.2596051 0.3227808 0.0065841 0.8317359 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00458} 
9856 8.83594 0.0 0.0 9.32 0.0032898 0.0018892 0.0602851 0.0288274 -0.0037778 0.1437562 1.3696943 1.2676938 0.320582 0.0067123 0.8326088 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00465} 
9984 8.89062 0.0 0.0 9.1 0.0031901 0.0018455 0.0594414 0.0298435 -0.0048926 0.104358 1.3691207 1.254712 0.305709 0.0061868 0.8378776 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00472} 
10112 8.94531 0.0 0.0 10.02 0.0030552 0.0015202 0.0639352 0.0274914 -0.0028184 0.1020648 1.3714665 1.2641926 0.3030086 0.0056297 0.8404694 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.0047} 
10240 8.98438 0.0 0.0 10.69 0.0028227 0.0015022 0.0607786 0.0286089 -0.0028919 0.0860228 1.3680945 1.2739592 0.3114528 0.0055663 0.8346301 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00469} 
10368 9.00781 0.0 0.0 11.03 0.0026537 0.0014914 0.0586915 0.0291429 -0.0026917 0.0763988 1.3588537 1.2890696 0.3383992 0.0053149 0.8221936 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00472} 
10496 9.04688 0.0 0.0 11.46 0.002495 0.0015324 0.0570882 0.0292311 -0.003783 0.0928048 1.3552635 1.3059121 0.398483 0.0051102 0.7847156 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00471} 
10624 9.09375 0.0 0.0 11.03 0.0023138 0.0014565 0.058495 0.0284312 -0.0033545 0.0889049 1.3561534 1.3126598 0.4426675 0.0047721 0.7568464 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00468} 
10752 9.11719 0.0 0.0 11.94 0.0022372 0.0013365 0.0588682 0.0280643 -0.0040212 0.0784421 1.3502959 1.3100655 0.4638401 0.0042804 0.7384819 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 17, 'episodic_explored_area': 0.00467} 
10880 9.1875 0.0 0.0 9.94 0.0022684 0.0015353 0.0562976 0.0280741 -0.0034878 0.0985668 1.3465865 1.2959103 0.4441248 0.0044053 0.7403083 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00469} 
11008 9.21094 0.0 0.0 10.98 0.0021469 0.001478 0.0554184 0.028239 -0.0027565 0.0878721 1.3384604 1.2958537 0.453008 0.0042434 0.7273136 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00465} 
11136 9.25 0.0 0.0 10.62 0.0022343 0.0016546 0.0559101 0.0270966 -0.0032735 0.0867823 1.331708 1.3091195 0.4684194 0.0042862 0.7164911 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00467} 
11264 9.30469 0.0 0.0 12.93 0.0022232 0.0015334 0.0550758 0.0264313 -0.0040709 0.0923525 1.3273295 1.3141289 0.4710599 0.0043384 0.7132506 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00472} 
11392 9.32031 0.0 0.0 11.61 0.0020497 0.0012132 0.0557247 0.0271881 -0.004921 0.0805152 1.3279636 1.3151874 0.5055633 0.0040084 0.6890979 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00471} 
11520 9.35938 0.0 0.0 11.02 0.0021413 0.0013912 0.0480187 0.0263776 -0.0035101 0.088441 1.3239386 1.3165769 0.5010279 0.003979 0.7007967 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00474} 
11648 9.42969 0.0 0.0 11.03 0.0022209 0.0017103 0.059911 0.025449 -0.0037633 0.1020126 1.3139012 1.3086969 0.4728401 0.004382 0.7186623 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.0047} 
11776 9.46094 0.0 0.0 11.66 0.0021487 0.0013651 0.0561945 0.0276519 -0.0041193 0.0973612 1.3072463 1.2923674 0.4628 0.0041634 0.7249257 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00477} 
11904 9.47656 0.0 0.0 10.75 0.0019551 0.0012168 0.0623129 0.0264795 -0.0061642 0.0810051 1.3032643 1.2940448 0.4652616 0.0038755 0.7243292 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00481} 
12032 9.48438 0.0 0.0 9.72 0.001823 0.0013383 0.0586105 0.025864 -0.0038372 0.0660942 1.3018838 1.3200479 0.4885679 0.0040397 0.7080471 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00482} 
12160 9.48438 0.0 0.0 9.9 0.0017704 0.001138 0.055397 0.0258472 -0.0028785 0.0659786 1.3036384 1.3427788 0.5370685 0.0036708 0.685828 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00482} 
12288 9.48438 0.0 0.0 10.38 0.0015796 0.0008851 0.0488036 0.0264446 -0.0029048 0.0622972 1.3051106 1.370417 0.6023504 0.003627 0.6429543 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00482} 
12416 9.49219 0.0 0.0 10.93 0.0016764 0.0009635 0.0477398 0.0251926 -0.00453 0.0672235 1.3052685 1.3769116 0.6328839 0.0031997 0.616186 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00481} 
12544 9.5 0.0 0.0 12.02 0.0015957 0.000921 0.0537104 0.0240325 -0.0034721 0.063351 1.2944743 1.378271 0.638386 0.003219 0.6147663 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00481} 
12672 9.5 0.0 0.0 9.89 0.0015721 0.0009373 0.0499983 0.0246772 -0.0040344 0.0630411 1.2853572 1.3733154 0.6369461 0.0031324 0.6115197 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 18, 'episodic_explored_area': 0.00481} 
