128 0 0 0.0 0.0 41.73 0.0480044 0.008087 0.0 0.0 -0.0034475 0.0519826 1.5671941 1.1587956 0.021255 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 42.94 0.0354801 0.0171829 0.0 0.0 -0.0048488 0.0332324 1.6601246 1.106856 0.018863 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 43.53 0.0355922 0.0211167 0.0 0.0 -0.0051248 0.0672298 1.6650204 1.0347747 0.0200048 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 44.21 0.0267401 0.0173749 0.0 0.0 -0.0069292 0.0841606 1.6366999 0.9682689 0.0217782 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 46.49 0.0192889 0.0091448 0.0 0.0 -0.0078261 0.0815579 1.5814822 0.9305901 0.0206 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 60.54 0.0157853 0.007786 0.0 0.0 -0.007454 0.0682265 1.5759679 0.9054684 0.0197265 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 61.18 0.0127942 0.0062784 0.0 0.0 -0.0078163 0.052058 1.5755282 0.8943121 0.018869 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 61.22 0.0115625 0.0063218 0.0 0.0 -0.0086444 0.0430581 1.575126 0.877818 0.0173072 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 83.65 0.010326 0.0063531 0.0 0.0 -0.0091178 0.0341419 1.5727045 0.8650854 0.0167739 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 91.55 0.0095579 0.0055974 0.0 0.0 -0.0108643 0.0287519 1.5727494 0.8688991 0.0157268 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 94.63 0.0086187 0.0049288 0.0 0.0 -0.011427 0.0240247 1.571781 0.8676354 0.0144702 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 90.79 0.0083196 0.0050822 0.0 0.0 -0.012469 0.020362 1.571575 0.8578169 0.01449 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 90.03 0.0088977 0.0077429 0.0 0.0 -0.0137076 0.0191269 1.5723996 0.843833 0.0149858 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 86.71 0.009089 0.0074143 0.0 0.0 -0.0130559 0.0175531 1.572243 0.83567 0.0153427 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 85.66 0.0086867 0.0067587 0.0 0.0 -0.0149643 0.0166767 1.5725812 0.8307602 0.0154203 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 79.07 0.0086042 0.0062817 0.0 0.0 -0.0156386 0.015062 1.5726454 0.833248 0.0150197 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 4 4 0.0 0.0 74.93 0.0090022 0.0072082 0.0 0.0 -0.0141499 0.0146509 1.5694538 0.828095 0.0156273 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 4 4 0.0 0.0 79.66 0.0083158 0.0063841 0.0 0.0 -0.0159532 0.0128937 1.5218525 0.8234392 0.0151421 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 4 4 0.0 0.0 84.37 0.0083287 0.0063434 0.0 0.0 -0.0142638 0.0116649 1.5133176 0.8226246 0.0151882 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 4 4 0.0 0.0 85.61 0.0079125 0.0054437 0.0 0.0 -0.0138137 0.007872 1.5150585 0.843295 0.0141428 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 4 4 0.0 0.0 88.44 0.0080021 0.0053856 0.0 0.0 -0.013233 0.0066449 1.5139122 0.8558196 0.0132433 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 4 4 0.0 0.0 95.97 0.0067802 0.0048133 0.0 0.0 -0.009675 0.0053612 1.4999349 0.8922742 0.0114507 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 4 4 0.0 0.0 95.21 0.0064072 0.0050628 0.0 0.0 -0.0081925 0.0055128 1.4744243 0.9194715 0.0104979 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 4 4 0.0 0.0 93.17 0.005931 0.004906 0.0 0.0 -0.008667 0.0051351 1.4705108 0.9241907 0.0101999 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 4 4 0.0 0.0 93.41 0.005698 0.0051626 0.0 0.0 -0.0087147 0.0054803 1.468886 0.9126723 0.0103983 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 4 4 0.0 0.0 93.79 0.0061492 0.0062188 0.0 0.0 -0.0096134 0.005614 1.4678399 0.9078645 0.0107704 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 4 4 0.0 0.0 91.81 0.006615 0.0058375 0.0 0.0 -0.0119627 0.0059692 1.4670022 0.8982812 0.0107996 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 4 4 0.0 0.0 91.6 0.0065113 0.0055895 0.0 0.0 -0.011707 0.0068278 1.4696179 0.8925934 0.0111037 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 5 5 0.0 0.0 94.75 0.0079421 0.0075318 0.0 0.0 -0.011934 0.0092644 1.4688426 0.8855625 0.0125899 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 5 5 0.0 0.0 94.81 0.008773 0.0081967 0.0 0.0 -0.012762 0.009408 1.4449773 0.8732911 0.0136008 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 5 5 0.0 0.0 94.68 0.0084553 0.0071592 0.0 0.0 -0.0133088 0.0096431 1.422121 0.863719 0.0133967 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 5 5 0.0 0.0 98.36 0.0097016 0.0079823 0.0 0.0 -0.0129391 0.0106226 1.4069107 0.8664475 0.0142838 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 5 5 0.0 0.0 95.85 0.0095352 0.0076551 0.0 0.0 -0.0132663 0.010821 1.4029025 0.8561325 0.0155713 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 5 5 0.0 0.0 96.87 0.0090291 0.0079932 0.0 0.0 -0.0126543 0.0110454 1.4036618 0.8545946 0.0154732 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 5 5 0.0 0.0 96.27 0.0166519 0.0106231 0.0 0.0 -0.0126188 0.0169262 1.4007111 0.8463576 0.017076 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
