128 0 0 0.0 0.0 21.18 0.4462572 0.0092833 -0.8987519 5.1683613 0.130758 1.2280048 0.0 0.5895982 0.0762161 51.8692844 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 21.35 0.0974858 0.0296674 -0.0621054 0.8950454 0.1180177 1.2034749 0.0 0.5285426 0.1258987 80.1720911 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 21.83 0.0566463 0.0359802 0.1419642 0.8440524 0.0697016 1.1472582 0.0 0.5490195 0.1475041 89.4210277 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 21.77 0.0317252 0.0211847 0.3950288 0.5507755 0.0434222 1.1076073 0.0 0.5776869 0.1540454 93.3294818 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 23.71 0.0200438 0.0129718 0.5797605 0.3425778 0.0317614 1.0814823 0.0 0.6182743 0.1611852 93.7916219 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 30.3 0.0148502 0.0094686 0.7307311 0.2718848 0.0238155 1.0624294 0.0 0.6486988 0.1670784 95.0206705 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 0 0 0.0 0.0 31.33 0.0112519 0.0069414 0.7785765 0.1938708 0.0190577 1.0442302 0.0 0.6743844 0.1708549 95.2832026 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 31.44 0.0091552 0.0058063 0.7629474 0.1389322 0.0154575 1.0363469 0.0 0.7240187 0.1703059 95.7047112 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 31.02 0.0076508 0.0051343 0.7773963 0.1000525 0.0143722 1.0261306 0.0 0.7422104 0.1857396 94.9957193 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 31.63 0.0066491 0.0039566 0.7812921 0.0811116 0.0130843 1.0173261 0.0 0.7980482 0.1820556 96.2679579 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 1 1 0.0 0.0 33.16 0.0065964 0.0046491 0.7679999 0.062602 0.0125268 1.0142176 0.0 0.8163274 0.1782814 95.8393379 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 1 1 0.0 0.0 32.1 0.0059185 0.0035276 0.740113 0.0392192 0.0112262 1.019307 0.0 0.8314149 0.1851075 95.729502 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 32.33 0.00571 0.003313 0.7249873 0.0332766 0.0113896 1.0193623 0.0 0.8549613 0.1958174 96.3166382 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 2 2 0.0 0.0 31.72 0.0053695 0.0031662 0.7344926 0.0233531 0.0108809 1.0160116 0.0 0.8746964 0.1917797 95.3915982 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 2 2 0.0 0.0 30.41 0.0057239 0.003125 0.7249263 0.0185748 0.0105171 1.0333618 0.0 0.8837928 0.2040578 95.7766902 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 30.69 0.005526 0.00337 0.741686 0.0151281 0.0100052 1.0265503 0.0 0.8872152 0.2054616 96.0655548 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 29.71 0.0054298 0.0034873 0.6587175 0.0102107 0.0100403 1.0041374 0.0 0.968918 0.1895214 96.5334641 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 29.76 0.0052062 0.0035441 0.6628392 0.0087705 0.009666 1.0153294 0.0 0.9323496 0.1911098 96.0611616 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 30.01 0.0051127 0.0033414 0.7103137 0.0082631 0.0096713 1.0052004 0.0 0.9436109 0.1916661 95.7910856 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 4 4 0.0 0.0 31.13 0.0047533 0.0031129 0.7377617 0.0070664 0.0091817 1.002944 0.0 0.9567118 0.1986941 96.1886728 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 4 4 0.0 0.0 31.4 0.0048574 0.0036047 0.5947703 0.0059534 0.0096291 1.0041246 0.0 0.9647674 0.2073566 96.0338417 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 4 4 0.0 0.0 31.36 0.0050296 0.0038556 0.4539122 0.005686 0.0096228 1.0087942 0.0 1.0353479 0.2092898 94.9625896 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 4 4 0.0 0.0 31.02 0.0048928 0.0033942 0.4841724 0.0058305 0.0095104 1.0067798 0.0 1.0356229 0.2164475 96.0790904 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 4 4 0.0 0.0 31.47 0.0047433 0.0036935 0.5236279 0.0057137 0.0092522 1.0074452 0.0 1.0242465 0.2154613 95.7548445 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 4 4 0.0 0.0 31.72 0.0047983 0.003019 0.5541732 0.0050502 0.0087608 1.0006606 0.0 1.012613 0.2062569 96.478552 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 4 4 0.0 0.0 31.84 0.0046937 0.0038917 0.4852142 0.0053017 0.0091678 0.9924912 0.0 1.0458597 0.2064716 96.4024429 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 4 4 0.0 0.0 31.26 0.0044532 0.0039596 0.4706755 0.0047583 0.0091678 1.0024044 0.0 1.0615772 0.2249706 96.3826151 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 5 5 0.0 0.0 32.52 0.0045679 0.0047143 0.3814104 0.0046036 0.0089671 1.0100812 0.0 1.0819806 0.2328537 95.9625488 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 5 5 0.0 0.0 31.77 0.0047833 0.0043967 0.2649842 0.0047355 0.0090337 0.9999883 0.0 1.0852053 0.2438805 95.786041 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
