128 0 0 0.0 0.0 76.89 0.0562398 0.0108635 0.0 0.0 -0.0034444 0.074018 1.5804266 1.2631455 0.0156869 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 83.3 0.0279552 0.0093613 0.0 0.0 -0.0046734 0.0215468 1.6639277 1.2571745 0.0137965 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 86.69 0.0213584 0.0108122 0.0 0.0 -0.0042205 0.0243863 1.6644489 1.2210695 0.0136918 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 87.87 0.016059 0.008619 0.0 0.0 -0.0069776 0.0254472 1.6615908 1.1912509 0.0135275 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 90.69 0.0117674 0.0054041 0.0 0.0 -0.0070628 0.0278648 1.5919241 1.1729711 0.0124366 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 92.02 0.0101005 0.0045324 0.0 0.0 -0.0078848 0.0238801 1.5774791 1.1628736 0.0118513 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 91.94 0.0074089 0.0030874 0.0 0.0 -0.0098029 0.0205231 1.5759955 1.1648736 0.0102157 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 91.51 0.0069664 0.0034212 0.0 0.0 -0.0087544 0.0166973 1.5745307 1.1620007 0.0092366 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 86.35 0.0057914 0.0030605 0.0 0.0 -0.0095273 0.0146454 1.5734843 1.152522 0.0088077 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 84.97 0.0053383 0.0035378 0.0 0.0 -0.0117958 0.0101307 1.5722908 1.1480846 0.0082115 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 1 1 0.0 0.0 83.73 0.0045937 0.0026285 0.0 0.0 -0.0113204 0.008884 1.5727968 1.1487835 0.0072686 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 76.78 0.003979 0.0024646 0.0 0.0 -0.0126157 0.0073452 1.572878 1.1432352 0.0066088 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 78.34 0.0038488 0.0028317 0.0 0.0 -0.0140851 0.0063132 1.5728626 1.1424489 0.0064007 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 83.94 0.0036646 0.0022879 0.0 0.0 -0.0145159 0.0049423 1.5716594 1.1451281 0.0061396 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 89.87 0.0033075 0.0020067 0.0 0.0 -0.0156887 0.0043471 1.5717066 1.138572 0.0057989 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 90.7 0.0035057 0.0020607 0.0 0.0 -0.0157791 0.0041458 1.5709808 1.1412501 0.0059191 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 89.97 0.0037054 0.0034202 0.0 0.0 -0.0145426 0.0042929 1.5715347 1.1363523 0.0057816 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 91.43 0.0031701 0.0019264 0.0 0.0 -0.0171207 0.0037253 1.5709398 1.1443312 0.0055145 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 91.92 0.0032306 0.0017054 0.0 0.0 -0.0142549 0.0044826 1.5723746 1.1490776 0.0051997 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
