128 0 0 0.0 0.0 26.08 0.4122193 0.0082098 -6.1551491 4.2230363 0.1175925 1.182835 0.0 1.2990577 0.0831481 64.5795543 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 1 1 0.0 0.0 26.25 0.0924889 0.0326014 -0.4949924 0.7618067 0.0934157 1.1474963 0.0 1.6041012 0.1435762 89.2372196 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 26.57 0.0415973 0.0257133 0.3925238 0.6712004 0.0523015 1.084913 0.0 1.6112378 0.1762836 95.122766 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 26.69 0.0229474 0.0159082 0.5972565 0.4674852 0.0350852 1.041116 0.0 1.4801809 0.1807943 98.0716711 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 37.83 0.0177052 0.0117145 0.5799307 0.3467583 0.0266919 1.0074836 0.0 1.3236499 0.1858852 98.8702871 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 38.75 0.0128648 0.0090442 0.5581172 0.2455652 0.0220622 0.9940509 0.0 1.2481227 0.1911602 99.0632599 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 38.77 0.0106928 0.0077853 0.4776441 0.1676713 0.0201286 0.9771753 0.0 1.2007838 0.2036603 99.3649703 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 52.99 0.0099455 0.0067199 0.4103199 0.1264239 0.01907 0.9575883 0.0 1.2917204 0.1958072 99.2874317 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 50.81 0.0097255 0.0072784 0.3211336 0.0937122 0.0184631 0.9511103 0.0 1.3864802 0.211311 99.5365464 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 47.88 0.0083022 0.0052866 0.2729449 0.0738305 0.0171825 0.9514515 0.0 1.3876407 0.2140552 99.3020139 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 44.85 0.0088392 0.0050993 0.22486 0.0555213 0.0171279 0.9400514 0.0 1.5162769 0.208721 99.5205291 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 44.48 0.008309 0.0043682 0.1766388 0.0392755 0.0169541 0.9396323 0.0 1.6287555 0.2081931 99.5875299 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 49.3 0.0087282 0.0049781 0.1502451 0.0374223 0.017026 0.9379623 0.0 1.7058873 0.222346 99.6740531 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 52.74 0.0084678 0.0048601 0.1184389 0.025711 0.0164129 0.9261281 0.0 1.8791321 0.2323019 99.6083717 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 55.03 0.0087165 0.0048524 0.0878533 0.0186333 0.0163806 0.9152429 0.0 1.952742 0.2191156 99.6789105 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 4 4 0.0 0.0 54.76 0.0084628 0.0051607 0.0756139 0.0186191 0.0164518 0.9067767 0.0 2.0901105 0.2042978 99.5208549 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 4 4 0.0 0.0 54.25 0.0083065 0.0050166 0.05874 0.0138622 0.0163841 0.8994599 0.0 2.2645691 0.2179373 99.5700352 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 4 4 0.0 0.0 51.61 0.0084941 0.0055696 0.0422115 0.0130929 0.0168631 0.8989932 0.0 2.4793515 0.22384 99.6019511 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 4 4 0.0 0.0 49.63 0.0087443 0.0058944 0.0362535 0.0138733 0.017024 0.8952463 0.0 2.589476 0.2166266 99.6607543 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 4 4 0.0 0.0 45.72 0.0088761 0.0056309 0.0286848 0.0117366 0.0168298 0.8880555 0.0 2.7713893 0.2168797 99.6755403 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 4 4 0.0 0.0 45.11 0.0088092 0.0059283 0.022946 0.0119511 0.0173135 0.8827755 0.0 2.8295845 0.2211488 99.5868504 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 5 5 0.0 0.0 46.69 0.0086502 0.0062326 0.0198266 0.0117555 0.0171565 0.8830079 0.0 3.1349123 0.2400334 99.7461596 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 5 5 0.0 0.0 49.48 0.0092706 0.0063812 0.0049057 0.0107887 0.0183092 0.8675009 0.0 3.299488 0.2380842 99.6669167 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 5 5 0.0 0.0 51.25 0.0106347 0.0077286 -0.0130876 0.0139142 0.0183017 0.8586466 0.0 3.8807165 0.2400178 99.6336328 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 5 5 0.0 0.0 51.66 0.0099362 0.0069864 0.0102643 0.0143553 0.0194735 0.8543269 0.0 4.0322705 0.2439743 99.6333024 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 5 5 0.0 0.0 50.86 0.0101074 0.0061279 -0.0080997 0.0136328 0.0187634 0.850931 0.0 4.2200438 0.2545271 99.5207649 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 6 6 0.0 0.0 50.03 0.0100124 0.0063911 -0.0043885 0.0124897 0.0194541 0.8550556 0.0 4.3972099 0.2499263 99.5989227 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 6 6 0.0 0.0 49.11 0.010163 0.0066648 -0.0069492 0.013101 0.0198403 0.849166 0.0 4.8045981 0.2505832 99.5697877 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 6 6 0.0 0.0 48.63 0.0104166 0.0066498 -0.0068142 0.0154331 0.020349 0.8516895 0.0 5.0952814 0.2610888 99.6564807 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 6 6 0.0 0.0 48.07 0.0106035 0.0064897 -0.0128924 0.0134513 0.0200644 0.8511201 0.0 5.3687418 0.2638499 99.5831225 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 7 7 0.0 0.0 48.91 0.0102665 0.0063181 -0.006464 0.0142385 0.0195698 0.8599988 0.0 5.6817634 0.2935345 99.5224475 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 7 7 0.0 0.0 48.94 0.0100714 0.0059188 -0.0034464 0.01473 0.01935 0.8611962 0.0 5.913204 0.3132114 99.5395465 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 7 7 0.0 0.0 50.39 0.009599 0.0058692 0.0131276 0.0135961 0.0191522 0.8655584 0.0 6.5063515 0.3406722 99.5829568 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
