128 0 0 0.0 0.0 49.2 0.0564703 0.0105007 0.0 0.0 -0.0037996 0.0576892 0.0 1.1978711 0.0188953 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 49.86 0.0377851 0.0158299 0.0 0.0 -0.0042368 0.0437851 0.0 1.1591199 0.0176961 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 50.55 0.0333819 0.0186709 0.0 0.0 -0.0055809 0.0845591 0.0 1.0980614 0.0185107 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 49.41 0.0215178 0.0118378 0.0 0.0 -0.0079198 0.1003987 0.0 1.0617895 0.0176227 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 63.05 0.0160218 0.0074092 0.0 0.0 -0.0078005 0.089213 0.0 1.0349229 0.0163769 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 63.63 0.0121876 0.0051744 0.0 0.0 -0.0054037 0.0914077 0.0 1.017674 0.0147137 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 64.86 0.0094668 0.0044264 0.0 0.0 -0.0065902 0.072814 0.0 1.0116406 0.0132484 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 65.76 0.0078584 0.0035727 0.0 0.0 -0.0072649 0.0525534 0.0 1.0117323 0.0116756 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 67.94 0.0067362 0.0033245 0.0 0.0 -0.0078794 0.0433848 0.0 1.0137727 0.0104563 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 69.64 0.0062868 0.0040174 0.0 0.0 -0.0072189 0.035834 0.0 1.0043952 0.0098421 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 70.9 0.0057186 0.0031165 0.0 0.0 -0.0088615 0.0278576 0.0 0.9908581 0.0094554 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 71.04 0.0051184 0.0039086 0.0 0.0 -0.0105553 0.0238143 0.0 0.9965544 0.0086405 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 70.62 0.0051438 0.0035874 0.0 0.0 -0.0117961 0.0184589 0.0 0.9960786 0.0081233 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 71.82 0.0052679 0.0045539 0.0 0.0 -0.0125187 0.0159334 0.0 0.994337 0.0082531 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 73.48 0.0051611 0.0062265 0.0 0.0 -0.0131574 0.0127145 0.0 0.9971637 0.0087646 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 73.07 0.0047715 0.0045078 0.0 0.0 -0.0154923 0.0102271 0.0 0.9998142 0.0086856 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 74.67 0.0052304 0.0042597 0.0 0.0 -0.0150586 0.0089122 0.0 0.9975551 0.0082034 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 74.0 0.0049337 0.0039012 0.0 0.0 -0.0162718 0.0079919 0.0 1.0013426 0.0082686 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 73.63 0.0045483 0.0031745 0.0 0.0 -0.0149821 0.0065096 0.0 1.0073438 0.0075363 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 3 3 0.0 0.0 72.87 0.004285 0.0032439 0.0 0.0 -0.0145345 0.0056527 0.0 1.0207477 0.0073898 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 3 3 0.0 0.0 73.45 0.0039095 0.0027808 0.0 0.0 -0.0134104 0.0051341 0.0 1.0364267 0.0063076 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
