128 0 0 0.0 0.0 14.66 0.3024251 0.0070381 -4.5017764 2.36282 0.1115689 1.1676514 0.0 1.2792139 0.0867901 68.4963761 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 15.51 0.0788296 0.0312816 -0.5041194 0.4627289 0.079477 1.1309096 0.0 1.9467232 0.137474 90.3617715 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 15.34 0.0326782 0.0231047 0.3182322 0.4145425 0.0438695 1.0768361 0.0 1.7167723 0.1696021 96.0030657 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 15.72 0.0199649 0.01499 0.500246 0.339497 0.0308929 1.0310107 0.0 1.5029177 0.1828442 98.1401714 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 15.51 0.0153854 0.0095015 0.479538 0.2538305 0.0243027 0.9962081 0.0 1.3944685 0.1810472 98.9445783 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 15.34 0.0112065 0.0070256 0.4047772 0.1384613 0.0198402 0.9811608 0.0 1.3483264 0.1989984 99.3319778 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 16.58 0.0101821 0.0065602 0.3687312 0.1197139 0.0192041 0.9547639 0.0 1.2499709 0.1900542 99.1916636 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 19.07 0.0096057 0.0057832 0.2994798 0.0793788 0.0189327 0.9483333 0.0 1.282798 0.214499 99.1618483 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 20.04 0.0090928 0.0052107 0.2529222 0.0630995 0.0173398 0.9366888 0.0 1.3851795 0.2015668 99.3592542 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 20.16 0.0085352 0.0051341 0.2120319 0.049747 0.017036 0.9271875 0.0 1.4535694 0.2091061 99.3641739 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 19.08 0.0083623 0.0043179 0.1812077 0.0380972 0.0171752 0.9326825 0.0 1.4965504 0.204253 99.5675654 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 19.48 0.0088045 0.0045837 0.1438667 0.0329702 0.0171736 0.9266572 0.0 1.585846 0.212673 99.5592782 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 22.69 0.0085306 0.0049696 0.1146197 0.0239822 0.0166145 0.9243477 0.0 1.5882587 0.2174632 99.6095244 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 25.72 0.0083454 0.0045802 0.0998321 0.0208888 0.016368 0.9172458 0.0 1.6875992 0.2212687 99.5444658 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 26.26 0.0084531 0.0049458 0.0717337 0.016576 0.016567 0.9170325 0.0 1.7689075 0.2333865 99.6168892 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 25.83 0.0087673 0.0058966 0.0543292 0.0154428 0.0169555 0.9137438 0.0 1.7871516 0.2291777 99.5970829 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 25.54 0.0083681 0.0051785 0.0499292 0.013684 0.0165066 0.9067662 0.0 1.7689329 0.2274866 99.5905143 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 24.75 0.0087024 0.0046601 0.028802 0.0124577 0.0159234 0.9061657 0.0 1.9094956 0.2320507 99.5793988 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
