6272 13 13 0.0 0.0 168.91 0.0001633 0.0464322 0.0037348 -0.1122099  {'room_id': 0, 'visited_rooms': 1} 
6400 13 13 0.0 0.0 169.04 0.0001591 0.0462524 0.0036612 -0.0906473  {'room_id': 0, 'visited_rooms': 1} 
6528 14 14 0.0 0.0 168.77 0.0001499 0.0425755 0.0029358 -0.0542944  {'room_id': 0, 'visited_rooms': 1} 
6656 14 14 0.0 0.0 169.15 0.000156 0.0452889 0.002399 -0.0342443  {'room_id': 0, 'visited_rooms': 1} 
6784 14 14 0.0 0.0 169.54 0.0001392 0.0404505 0.0020694 -0.0484415  {'room_id': 0, 'visited_rooms': 1} 
6912 15 15 0.0 0.0 169.23 0.0001382 0.0392974 0.0020949 -0.0501281  {'room_id': 0, 'visited_rooms': 1} 
7040 15 15 0.0 0.0 169.03 0.0001429 0.0408531 0.0021125 -0.0332785  {'room_id': 0, 'visited_rooms': 1} 
7168 15 15 0.0 0.0 169.53 0.0001346 0.0389328 0.0019437 -0.0509681  {'room_id': 0, 'visited_rooms': 1} 
7296 15 15 0.0 0.0 168.56 0.000131 0.0385307 0.0016238 -0.0414824  {'room_id': 0, 'visited_rooms': 1} 
7424 15 15 0.0 0.0 168.05 0.0001365 0.039577 0.0018598 -0.0104719  {'room_id': 0, 'visited_rooms': 1} 
7552 16 16 0.0 0.0 168.44 0.0001282 0.037301 0.0015478 -0.0198118  {'room_id': 0, 'visited_rooms': 1} 
7680 16 16 0.0 0.0 169.34 0.0001228 0.0350769 0.0019618 -0.0578372  {'room_id': 0, 'visited_rooms': 1} 
7808 16 16 0.0 0.0 169.39 0.0001159 0.0343962 0.0016854 -0.0541771  {'room_id': 0, 'visited_rooms': 1} 
7936 16 16 0.0 0.0 168.2 0.0001196 0.0343313 0.00174 -0.0353228  {'room_id': 0, 'visited_rooms': 1} 
8064 17 17 0.0 0.0 168.75 0.000118 0.0331909 0.001632 -0.015046  {'room_id': 0, 'visited_rooms': 1} 
8192 17 17 0.0 0.0 169.07 0.0001191 0.033749 0.0013182 -0.0099194  {'room_id': 0, 'visited_rooms': 1} 
8320 18 18 0.0 0.0 168.47 0.0001133 0.0335687 0.0010822 -0.0254701  {'room_id': 0, 'visited_rooms': 1} 
8448 18 18 0.0 0.0 169.27 0.0001194 0.034639 0.000368 -0.0073107  {'room_id': 0, 'visited_rooms': 1} 
8576 18 18 0.0 0.0 168.89 0.0001074 0.0313483 0.0002715 -0.0348302  {'room_id': 0, 'visited_rooms': 1} 
8704 19 19 0.0 0.0 169.06 0.0001115 0.0326303 6.97e-05 -0.0261792  {'room_id': 0, 'visited_rooms': 1} 
8832 19 19 0.0 0.0 169.37 0.0001076 0.0311524 0.000221 -0.0199671  {'room_id': 0, 'visited_rooms': 1} 
8960 19 19 0.0 0.0 168.41 0.0001076 0.0303147 0.0002069 -0.001634  {'room_id': 0, 'visited_rooms': 1} 
9088 20 20 0.0 0.0 168.95 0.0001065 0.0304269 0.0001232 -0.0019728  {'room_id': 0, 'visited_rooms': 1} 
9216 20 20 0.0 0.0 168.16 0.0001056 0.0300929 9.2e-06 0.0209542  {'room_id': 0, 'visited_rooms': 1} 
9344 21 21 0.0 0.0 168.67 0.0001009 0.0293282 -2.46e-05 0.024717  {'room_id': 0, 'visited_rooms': 1} 
9472 21 21 0.0 0.0 168.94 9.95e-05 0.0286818 -1.29e-05 -0.0122568  {'room_id': 0, 'visited_rooms': 1} 
9600 21 21 0.0 0.0 168.3 9.47e-05 0.0283874 -0.0002558 0.0148719  {'room_id': 0, 'visited_rooms': 1} 
9728 21 21 0.0 0.0 168.49 9.9e-05 0.0285901 -0.0002659 0.0083925  {'room_id': 0, 'visited_rooms': 1} 
9856 22 22 0.0 0.0 167.97 9.62e-05 0.0273199 -0.0003058 -0.0079305  {'room_id': 0, 'visited_rooms': 1} 
9984 22 22 0.0 0.0 168.38 8.96e-05 0.0253731 -0.0002814 -0.0066019  {'room_id': 0, 'visited_rooms': 1} 
10112 22 22 0.0 0.0 169.03 8.82e-05 0.025643 -0.000248 -0.0030906  {'room_id': 0, 'visited_rooms': 1} 
10240 22 22 0.0 0.0 168.46 8.88e-05 0.0265621 -0.0002075 0.0208247  {'room_id': 0, 'visited_rooms': 1} 
10368 23 23 0.0 0.0 168.24 9.01e-05 0.0260352 -0.000239 -0.0009474  {'room_id': 0, 'visited_rooms': 1} 
10496 23 23 0.0 0.0 169.17 8.84e-05 0.0263262 -0.0002323 0.0198253  {'room_id': 0, 'visited_rooms': 1} 
10624 23 23 0.0 0.0 168.76 8.61e-05 0.0258541 -0.0002082 0.0110659  {'room_id': 0, 'visited_rooms': 1} 
10752 23 23 0.0 0.0 168.21 9.12e-05 0.0268373 -0.0002016 0.0258631  {'room_id': 0, 'visited_rooms': 1} 
10880 24 24 0.0 0.0 168.76 8.98e-05 0.0261023 -0.00017 0.0243253  {'room_id': 0, 'visited_rooms': 1} 
11008 24 24 0.0 0.0 168.21 8.86e-05 0.025981 -0.0001537 0.0341654  {'room_id': 0, 'visited_rooms': 1} 
11136 25 25 0.0 0.0 168.84 8.37e-05 0.0244877 -0.000155 0.0132944  {'room_id': 0, 'visited_rooms': 1} 
11264 25 25 0.0 0.0 168.52 8.56e-05 0.0243817 -0.0001731 0.0367093  {'room_id': 0, 'visited_rooms': 1} 
11392 25 25 0.0 0.0 167.69 8.12e-05 0.0239935 -0.0001117 0.0197934  {'room_id': 0, 'visited_rooms': 1} 
11520 26 26 0.0 0.0 169.16 8.3e-05 0.0246906 -4.45e-05 0.0185762  {'room_id': 0, 'visited_rooms': 1} 
11648 26 26 0.0 0.0 169.49 8.11e-05 0.023799 -1.95e-05 0.0005565  {'room_id': 0, 'visited_rooms': 1} 
11776 26 26 0.0 0.0 167.63 8.42e-05 0.0243819 -1.59e-05 0.005122  {'room_id': 0, 'visited_rooms': 1} 
11904 26 26 0.0 0.0 169.02 7.86e-05 0.0232598 -5.5e-06 0.0067955  {'room_id': 0, 'visited_rooms': 1} 
12032 27 27 0.0 0.0 168.25 7.58e-05 0.0218947 5.8e-06 -0.0023809  {'room_id': 0, 'visited_rooms': 1} 
12160 27 27 0.0 0.0 168.98 7.93e-05 0.0238564 3.8e-06 0.0319102  {'room_id': 0, 'visited_rooms': 1} 
12288 28 28 0.0 0.0 168.63 8.14e-05 0.0235149 5e-07 0.0190021  {'room_id': 0, 'visited_rooms': 1} 
12416 28 28 0.0 0.0 169.11 8.94e-05 0.0258603 -6.3e-06 0.0453464  {'room_id': 0, 'visited_rooms': 1} 
12544 28 28 0.0 0.0 167.28 8.47e-05 0.0261446 -1.37e-05 0.0629681  {'room_id': 0, 'visited_rooms': 1} 
12672 28 28 0.0 0.0 168.19 0.0001034 0.0329327 -2.32e-05 0.1401143  {'room_id': 0, 'visited_rooms': 1} 
