0 0.0 0.0 0.0 0.39 0.0202308 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.42969 0.0 0.0 6.91 0.9548334 0.0412346 0.0 0.0 -0.003782 8.4252457 1.7416966 1.3214967 0.6418789 0.1373869 0.4471494 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00012} 
256 0.66406 0.0 0.0 5.44 0.1293717 0.0465479 0.0 0.0 -0.0035319 1.5867695 1.6818331 1.3654462 0.6899243 0.0932326 0.4910574 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00027} 
384 0.74219 0.0 0.0 5.14 0.0464735 0.0164923 0.0 0.0 -0.0025641 0.5377007 1.6639027 1.3617768 0.6937063 0.0677837 0.4864622 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00034} 
512 0.78125 0.0 0.0 5.2 0.030402 0.0104061 0.0 0.0 -0.0021774 0.3078336 1.6581743 1.3583102 0.6939986 0.0545701 0.4866196 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00037} 
640 0.80469 0.0 0.0 5.46 0.0285248 0.0100279 0.0 0.0 -0.0019991 0.2193827 1.6565426 1.3539181 0.6938826 0.0451751 0.4871579 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00041} 
768 0.88281 0.0 0.0 5.66 0.0260801 0.0145105 0.0 0.0 -0.0029123 0.224318 1.6566912 1.3455008 0.6937385 0.0386793 0.4935368 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00055} 
896 1.02344 0.0 0.0 6.18 0.0228619 0.0146859 0.0 0.0 -0.0028376 0.2197866 1.6567504 1.3325911 0.6937574 0.0394165 0.4930111 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00074} 
1024 1.07031 0.0 0.0 5.85 0.0240113 0.0272917 0.0 0.0 -0.0038682 0.1359224 1.6343809 1.3120799 0.6938956 0.0389208 0.4905127 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00072} 
1152 1.21094 0.0 0.0 8.45 0.0302774 0.0342434 0.0 0.0 -0.0027889 0.1907751 1.5792489 1.2879847 0.6939211 0.0415425 0.4857919 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00096} 
1280 1.48438 0.0 0.0 11.3 0.0283355 0.027007 0.0 0.0 -0.0024771 0.2474565 1.5765219 1.2722353 0.6931931 0.0401714 0.5007397 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00138} 
1408 1.98438 0.0 0.0 14.55 0.0243772 0.0241543 0.0 0.0 -0.002924 0.2319889 1.5758401 1.2718113 0.6936912 0.0378705 0.4917789 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00175} 
