128 0 0 0.0 0.0 96.41 0.053645 0.0093189 0.0 0.0 -0.0037793 0.0385418 1.5749773 1.257396 0.0165529 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 96.19 0.0288274 0.0108129 0.0 0.0 -0.0040865 0.0124258 1.6602224 1.2611697 0.0141653 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 96.36 0.0232948 0.0128035 0.0 0.0 -0.0052132 0.0173363 1.6608575 1.2249512 0.0142501 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 97.81 0.0179141 0.009177 0.0 0.0 -0.0072625 0.0230385 1.6614632 1.2013154 0.0141634 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 97.82 0.0129951 0.0057882 0.0 0.0 -0.0083955 0.0208174 1.6604456 1.1778312 0.0129551 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 98.93 0.0095747 0.0040029 0.0 0.0 -0.0080427 0.0179896 1.6593572 1.1677364 0.0112911 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 98.8 0.0073098 0.0032045 0.0 0.0 -0.0081596 0.0137634 1.6588659 1.1705287 0.0101741 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 98.56 0.006001 0.0026706 0.0 0.0 -0.0076282 0.0119638 1.6129325 1.1619147 0.0088414 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 100.98 0.0055176 0.0027836 0.0 0.0 -0.0096796 0.0083411 1.576776 1.1614667 0.0080819 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 99.33 0.0047672 0.002413 0.0 0.0 -0.0104722 0.0070466 1.5737546 1.1574893 0.0073994 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 100.64 0.0041615 0.002369 0.0 0.0 -0.0128796 0.0051396 1.5730067 1.1578553 0.006681 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 4 4 0.0 0.0 101.04 0.0039195 0.0033102 0.0 0.0 -0.013141 0.0044659 1.5727324 1.1530696 0.0063049 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 4 4 0.0 0.0 102.6 0.0033774 0.0019933 0.0 0.0 -0.0133837 0.0034436 1.5723433 1.1603859 0.0056656 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 4 4 0.0 0.0 101.36 0.0032654 0.0023753 0.0 0.0 -0.0142078 0.0030349 1.5735625 1.1557373 0.0053017 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
