128 0 0 0.0 0.0 21.34 -0.9168827 0.7990734  {'room_id': 51, 'explored_rooms': 6, 'raw_score': 0.0} 
5888 10 10 288.51389674100005 21.973703614100003 39.67 0.0763602 2.3458419  {'room_id': 115, 'explored_rooms': 60, 'raw_score': 288.51389674100005} 
6016 10 10 288.51389674100005 21.973703614100003 39.03 0.1079871 2.489815  {'room_id': 33, 'explored_rooms': 60, 'raw_score': 288.51389674100005} 
6144 10 10 288.51389674100005 21.973703614100003 39.76 0.049149 2.4958965  {'room_id': 33, 'explored_rooms': 60, 'raw_score': 288.51389674100005} 
6272 10 10 288.51389674100005 21.973703614100003 40.99 0.0940041 2.1815214  {'room_id': 164, 'explored_rooms': 63, 'raw_score': 288.51389674100005} 
6400 10 10 288.51389674100005 21.973703614100003 38.92 -0.0513959 2.2544756  {'room_id': 115, 'explored_rooms': 67, 'raw_score': 288.51389674100005} 
6528 11 11 323.66250706690005 23.876333252690007 37.63 -0.0900586 2.046623  {'room_id': 113, 'explored_rooms': 67, 'raw_score': 323.66250706690005} 
6656 11 11 323.66250706690005 23.876333252690007 37.43 -0.1766797 2.3190755  {'room_id': 114, 'explored_rooms': 67, 'raw_score': 323.66250706690005} 
6784 12 12 314.29625636021007 23.788699927421007 34.54 -0.1438209 1.9223591  {'room_id': 115, 'explored_rooms': 67, 'raw_score': 314.29625636021007} 
6912 12 12 314.29625636021007 23.788699927421007 35.06 -0.2079719 1.9651964  {'room_id': 115, 'explored_rooms': 67, 'raw_score': 314.29625636021007} 
7040 12 12 314.29625636021007 23.788699927421007 34.6 -0.1470582 2.0401905  {'room_id': 115, 'explored_rooms': 67, 'raw_score': 314.29625636021007} 
7168 12 12 314.29625636021007 23.788699927421007 34.9 -0.1380703 2.0745202  {'room_id': 82, 'explored_rooms': 67, 'raw_score': 314.29625636021007} 
7296 13 13 327.86663072418906 25.909829934678907 36.38 -0.2032987 1.8216417  {'room_id': 115, 'explored_rooms': 67, 'raw_score': 327.86663072418906} 
7424 13 13 327.86663072418906 25.909829934678907 35.43 -0.2537297 1.9407659  {'room_id': 33, 'explored_rooms': 67, 'raw_score': 327.86663072418906} 
7552 13 13 327.86663072418906 25.909829934678907 38.34 -0.2545872 2.019923  {'room_id': 240, 'explored_rooms': 67, 'raw_score': 327.86663072418906} 
7680 13 13 327.86663072418906 25.909829934678907 36.54 -0.247113 2.3858954  {'room_id': 14, 'explored_rooms': 67, 'raw_score': 327.86663072418906} 
7808 13 13 327.86663072418906 25.909829934678907 37.82 -0.14734 2.0730371  {'room_id': 17, 'explored_rooms': 67, 'raw_score': 327.86663072418906} 
7936 13 13 327.86663072418906 25.909829934678907 37.78 -0.1437841 2.3235439  {'room_id': 33, 'explored_rooms': 68, 'raw_score': 327.86663072418906} 
8064 14 14 370.0799676517702 30.41884694121102 36.25 -0.1844914 2.1276806  {'room_id': 114, 'explored_rooms': 68, 'raw_score': 370.0799676517702} 
8192 14 14 370.0799676517702 30.41884694121102 36.36 -0.0703042 2.3122885  {'room_id': 178, 'explored_rooms': 71, 'raw_score': 370.0799676517702} 
8320 14 14 370.0799676517702 30.41884694121102 37.06 0.0243989 2.534087  {'room_id': 18, 'explored_rooms': 74, 'raw_score': 370.0799676517702} 
8448 14 14 370.0799676517702 30.41884694121102 35.88 0.0878648 2.6388459  {'room_id': 115, 'explored_rooms': 74, 'raw_score': 370.0799676517702} 
8576 15 15 364.0719708865932 30.076962247089917 37.97 0.1107086 2.314925  {'room_id': 115, 'explored_rooms': 74, 'raw_score': 364.0719708865932} 
8704 15 15 364.0719708865932 30.076962247089917 37.36 -0.0323631 2.4828831  {'room_id': 115, 'explored_rooms': 74, 'raw_score': 364.0719708865932} 
8832 15 15 364.0719708865932 30.076962247089917 33.63 -0.0316265 2.4610701  {'room_id': 82, 'explored_rooms': 74, 'raw_score': 364.0719708865932} 
8960 15 15 364.0719708865932 30.076962247089917 36.35 -0.1383328 2.5369153  {'room_id': 3, 'explored_rooms': 74, 'raw_score': 364.0719708865932} 
9088 15 15 364.0719708865932 30.076962247089917 37.11 -0.1269958 2.5514346  {'room_id': 179, 'explored_rooms': 76, 'raw_score': 364.0719708865932} 
9216 15 15 364.0719708865932 30.076962247089917 37.89 -0.0243367 2.1097169  {'room_id': 81, 'explored_rooms': 80, 'raw_score': 364.0719708865932} 
9344 16 16 416.6647737979339 35.56926602238093 36.99 -0.0842836 2.2687423  {'room_id': 115, 'explored_rooms': 80, 'raw_score': 416.6647737979339} 
9472 16 16 416.6647737979339 35.56926602238093 37.5 -0.0922105 2.6632094  {'room_id': 50, 'explored_rooms': 80, 'raw_score': 416.6647737979339} 
9600 16 16 416.6647737979339 35.56926602238093 36.98 -0.1621011 2.3453456  {'room_id': 3, 'explored_rooms': 80, 'raw_score': 416.6647737979339} 
9728 16 16 416.6647737979339 35.56926602238093 37.21 -0.0601519 2.3730722  {'room_id': 0, 'explored_rooms': 80, 'raw_score': 416.6647737979339} 
9856 17 17 410.9982964181405 35.61233942014284 37.11 -0.1285903 2.2082191  {'room_id': 113, 'explored_rooms': 80, 'raw_score': 410.9982964181405} 
9984 17 17 410.9982964181405 35.61233942014284 39.34 -0.1415713 2.4485529  {'room_id': 67, 'explored_rooms': 80, 'raw_score': 410.9982964181405} 
10112 17 17 410.9982964181405 35.61233942014284 39.94 0.007895 2.4345366  {'room_id': 115, 'explored_rooms': 80, 'raw_score': 410.9982964181405} 
10240 17 17 410.9982964181405 35.61233942014284 40.35 -0.1208474 2.454758  {'room_id': 115, 'explored_rooms': 80, 'raw_score': 410.9982964181405} 
10368 17 17 410.9982964181405 35.61233942014284 39.35 -0.1289343 2.3876795  {'room_id': 3, 'explored_rooms': 80, 'raw_score': 410.9982964181405} 
10496 18 18 459.8984667763265 38.75110547812856 41.44 -0.0308097 2.285829  {'room_id': 112, 'explored_rooms': 80, 'raw_score': 459.8984667763265} 
10624 18 18 459.8984667763265 38.75110547812856 40.9 -0.0925406 2.1104461  {'room_id': 33, 'explored_rooms': 80, 'raw_score': 459.8984667763265} 
10752 18 18 459.8984667763265 38.75110547812856 38.15 -0.1109753 2.2346214  {'room_id': 113, 'explored_rooms': 80, 'raw_score': 459.8984667763265} 
