3584 5 5 0.0 0.0 133.5 0.0096372 0.0062933 0.0 0.0 -0.0138331 0.0152764 1.4332119 0.7734421 0.0168853 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 5 5 0.0 0.0 132.06 0.0117824 0.0174485 0.0 0.0 -0.0101829 0.0250061 1.4068743 0.7694327 0.0179138 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 6 6 0.0 0.0 135.68 0.0101771 0.0090062 0.0 0.0 -0.0113187 0.0213267 1.3962208 0.7716507 0.0178332 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 6 6 0.0 0.0 132.12 0.0112151 0.0087276 0.0 0.0 -0.0110465 0.0254088 1.3959629 0.7607615 0.0171884 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 6 6 0.0 0.0 132.66 0.0097684 0.0072589 0.0 0.0 -0.0114051 0.025512 1.394992 0.7551085 0.016127 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 6 6 0.0 0.0 138.72 0.0105401 0.0102247 0.0 0.0 -0.0118936 0.0267209 1.3815311 0.7617103 0.0173539 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 7 7 0.0 0.0 133.78 0.0106942 0.0111109 0.0 0.0 -0.0129283 0.0248323 1.3619753 0.7593426 0.0167484 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 7 7 0.0 0.0 134.43 0.0097808 0.0085431 0.0 0.0 -0.0131847 0.0225893 1.3471804 0.7664849 0.0167035 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 7 7 0.0 0.0 139.33 0.0102694 0.0083003 0.0 0.0 -0.0134263 0.0255295 1.3460124 0.7639801 0.0160879 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 7 7 0.0 0.0 136.58 0.0096986 0.0082031 0.0 0.0 -0.0139503 0.0278752 1.3421436 0.7590815 0.0154005 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 7 7 0.0 0.0 134.17 0.01315 0.0330621 0.0 0.0 -0.0070876 0.0628245 1.3275286 0.7681735 0.0170758 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 8 8 10.0 0.1 133.98 0.0092472 0.0096553 0.0 0.0 -0.0123715 0.0271897 1.3205422 0.7672899 0.015354 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 10.0} 
5120 8 8 10.0 0.1 134.8 0.0086495 0.0076837 0.0 0.0 -0.0148049 0.0181979 1.3069342 0.768037 0.0144503 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 10.0} 
5248 8 8 10.0 0.1 132.19 0.0085422 0.0082061 0.0 0.0 -0.013788 0.0211579 1.300533 0.7802845 0.0144548 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 10.0} 
5376 8 8 10.0 0.1 135.04 0.0084294 0.0072201 0.0 0.0 -0.0136353 0.0155436 1.3000077 0.7933672 0.013997 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 10.0} 
5504 8 8 10.0 0.1 133.57 0.0093723 0.008327 0.0 0.0 -0.014274 0.0198762 1.297875 0.7781263 0.0143286 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 10.0} 
5632 9 9 19.0 0.19 133.99 0.0124477 0.0229618 0.0 0.0 -0.0093527 0.0349479 1.2926279 0.7788571 0.0162648 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 19.0} 
5760 9 9 19.0 0.19 132.24 0.0161241 0.0216169 0.0 0.0 -0.0100373 0.0525933 1.2810675 0.7799603 0.0179307 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 19.0} 
5888 9 9 19.0 0.19 132.76 0.0125709 0.0132463 0.0 0.0 -0.0109827 0.058096 1.2651643 0.7699168 0.0163518 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 19.0} 
6016 10 10 17.1 0.171 134.0 0.0094544 0.0083552 0.0 0.0 -0.0121606 0.0390951 1.2644388 0.7680481 0.0148716 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 17.1} 
6144 10 10 17.1 0.171 135.92 0.0084738 0.0073712 0.0 0.0 -0.0132486 0.0325476 1.2588117 0.7603236 0.0140902 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 17.1} 
6272 10 10 17.1 0.171 132.62 0.0093274 0.0089409 0.0 0.0 -0.0133804 0.0259736 1.2433251 0.7558183 0.0158595 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 17.1} 
6400 10 10 17.1 0.171 132.69 0.0307105 0.1170641 0.0 0.0 -0.0009065 0.1736961 1.2364568 0.7434855 0.0166695 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 2, 'raw_score': 17.1} 
6528 10 10 17.1 0.171 132.26 0.0124872 0.0213091 0.0 0.0 -0.0086899 0.0575324 1.2304039 0.746097 0.0170443 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 2, 'raw_score': 17.1} 
6656 10 10 17.1 0.171 135.77 0.0131414 0.010661 0.0 0.0 -0.0103339 0.0575723 1.2244176 0.7496995 0.017861 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 2, 'raw_score': 17.1} 
6784 10 10 17.1 0.171 137.35 0.0129033 0.0112394 0.0 0.0 -0.006464 0.0667585 1.2230436 0.7572068 0.0179653 {'accuracy': [0.0]} {'room_id': 6, 'explored_rooms': 3, 'raw_score': 17.1} 
6912 10 10 17.1 0.171 134.82 0.0108945 0.0105314 0.0 0.0 -0.0083988 0.0641725 1.2107023 0.7474317 0.0169747 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 3, 'raw_score': 17.1} 
7040 10 10 17.1 0.171 130.84 0.0132408 0.0117206 0.0 0.0 -0.0092886 0.0698131 1.2054742 0.7510732 0.019655 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 3, 'raw_score': 17.1} 
