0 0.0 0.0 0.0 0.41 0.0211361 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.53906 0.0 0.0 7.39 0.951327 0.0594745 0.0013681 0.0011687 -0.0040232 8.186175 1.6639452 1.3054259 0.5332528 0.143667 0.6209688 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00015} 
256 0.82812 0.0 0.0 6.17 0.1332025 0.0482289 0.0051068 0.0027667 -0.0032332 1.6706971 1.6781336 1.3656681 0.6418527 0.0936058 0.6020534 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00025} 
384 0.92188 0.0 0.0 6.86 0.0476363 0.0189632 0.0052108 0.0026482 -0.003111 0.519544 1.6814698 1.3646984 0.6736276 0.065959 0.5704344 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00031} 
512 0.95312 0.0 0.0 9.55 0.028456 0.0119857 0.0056039 0.0025198 -0.0030491 0.2718325 1.6631233 1.3686942 0.6796501 0.0495375 0.5454297 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00039} 
640 0.95312 0.0 0.0 9.17 0.0273166 0.0113749 0.0051615 0.0025593 -0.0023313 0.1686536 1.6573404 1.3676437 0.6830528 0.0408257 0.5534711 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00039} 
768 1.04688 0.0 0.0 11.1 0.0226205 0.011753 0.0049905 0.0026533 -0.0027328 0.2063731 1.658056 1.3563618 0.6793114 0.0327787 0.5614864 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00049} 
896 1.14062 0.0 0.0 10.12 0.0178525 0.0127637 0.0049811 0.0026361 -0.0018498 0.1872337 1.6571141 1.3437031 0.6736897 0.0292816 0.5710613 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00052} 
1024 1.17188 0.0 0.0 11.1 0.0145697 0.0126904 0.0056068 0.0026046 -0.0040835 0.1037738 1.6561306 1.3383282 0.6743462 0.0246829 0.5802344 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00052} 
1152 1.1875 0.0 0.0 9.77 0.0154667 0.022412 0.00511 0.0027061 -0.003184 0.0918742 1.6563283 1.3266785 0.6749566 0.025738 0.5842378 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00055} 
1280 1.26562 0.0 0.0 10.48 0.0197506 0.0238083 0.0049843 0.0025501 -0.0035571 0.108023 1.6571858 1.3119369 0.6602548 0.0289886 0.6061504 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0007} 
1408 1.51562 0.0 0.0 11.55 0.0238718 0.0319849 0.0044938 0.0027346 -0.0023944 0.1684633 1.6610493 1.292336 0.6188271 0.0311494 0.6284041 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00097} 
1536 1.875 0.0 0.0 11.29 0.0199658 0.0339152 0.0049676 0.0027591 -0.0025037 0.1509296 1.6515594 1.2788883 0.5439831 0.0285445 0.684966 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00152} 
1664 2.14844 0.0 0.0 10.24 0.0167976 0.0212242 0.0054875 0.0027603 -0.0023797 0.1350621 1.5873651 1.2735699 0.526709 0.0253825 0.7204824 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00178} 
