128 0 0 0.0 0.0 32.49 0.0287402 0.0048685 -0.3999466 0.0140786 0.0215186 1.1624191 0.2289022 0.3444754 0.1081269 67.6009245 30.9941409  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 32.5 0.0220461 0.0111213 -0.2341288 0.0151224 0.0200802 1.1064255 0.2199191 0.4640206 0.1921942 92.0408829 36.114641  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 33.01 0.0208136 0.0153699 -0.1571516 0.0379642 0.0209705 1.0387478 0.189398 0.5131688 0.2135198 97.6557392 49.8037934  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 42.94 0.0140656 0.0087618 -0.0193178 0.0477018 0.0215402 0.9771763 0.1699337 0.5896887 0.2083876 98.5480366 56.3662581  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 46.05 0.0097846 0.0054847 0.0756468 0.0446902 0.0209705 0.9343495 0.1600091 0.674587 0.1968403 98.5002625 57.7151397  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 49.29 0.0080973 0.0040838 0.1358673 0.0387968 0.0205623 0.9078468 0.1523001 0.7634439 0.1664594 98.8326828 59.7539145  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 62.03 0.006844 0.0035053 0.1513164 0.033284 0.0196981 0.893233 0.1469657 0.8171987 0.1519167 98.2820353 60.5653266  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 62.44 0.0059623 0.0032806 0.1633886 0.0290279 0.0183493 0.8812803 0.1423975 0.8434835 0.1568828 98.627196 62.1039939  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 61.87 0.00607 0.0077401 0.1407069 0.0238383 0.0180189 0.8783037 0.1403834 0.8448515 0.1512676 98.4234489 61.6205654  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 61.47 0.0053021 0.003762 0.1187443 0.01612 0.0172673 0.8657092 0.137961 0.8694595 0.1568938 98.6629739 62.4199856  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 61.25 0.0049786 0.0032982 0.1089497 0.0132649 0.0163853 0.8609424 0.1354631 0.8848579 0.1529552 98.5750625 62.9595948  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
