0 0.0 0.0 0.0 0.42 0.0126828 0.0 0.000926 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.59375 0.0 0.0 12.55 0.6355055 0.0329299 0.0104803 0.0087764 -0.0032977 3.5811301 1.6586316 1.4118592 8.4557459 0.102247 0.6157805 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00018} 
256 0.89062 0.0 0.0 13.24 0.0837266 0.0193368 0.0148941 0.008991 -0.0034829 0.7428116 1.6619358 1.4371313 15.3849752 0.050743 0.5793663 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00033} 
384 1.00781 0.0 0.0 10.46 0.0250426 0.0084458 0.0111465 0.0051242 -0.0024288 0.2674276 1.6577193 1.4428157 19.0163099 0.0328213 0.5444452 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0004} 
512 1.04688 0.0 0.0 10.16 0.0147788 0.0066052 0.0100813 0.0029008 -0.0023831 0.1275401 1.656291 1.4498371 20.9641826 0.0237295 0.5252514 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00044} 
640 1.0625 0.0 0.0 12.39 0.012563 0.0066858 0.0103105 0.0032228 -0.0022674 0.0900893 1.6556742 1.4366714 21.5393116 0.0207691 0.5266325 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00045} 
768 1.1875 0.0 0.0 10.63 0.0160864 0.0245266 0.0129997 0.0067867 -0.0035291 0.1337337 1.657136 1.4198537 22.9228396 0.0248526 0.5386233 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00059} 
896 1.39844 0.0 0.0 10.6 0.0150313 0.0129372 0.014683 0.0077045 -0.0028907 0.1471367 1.6570644 1.411783 26.5977237 0.0241922 0.5468044 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00084} 
1024 1.59375 0.0 0.0 10.9 0.0152553 0.0125508 0.0147661 0.009046 -0.0039471 0.1226063 1.6593298 1.4187902 28.8268159 0.0246705 0.5672088 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00103} 
1152 1.89844 0.0 0.0 11.13 0.0178403 0.0164495 0.0170001 0.0124296 -0.0033002 0.1253296 1.6603834 1.4447358 29.4938097 0.0259278 0.6032486 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0013} 
1280 2.25781 0.0 0.0 8.83 0.0157283 0.0257663 0.0185731 0.0125301 -0.0018743 0.1217379 1.6579124 1.5533336 24.1679202 0.0253763 0.7039349 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00163} 
1408 2.5 0.0 0.0 9.53 0.0125978 0.0172323 0.0177768 0.0126432 -0.0020008 0.1093685 1.6038261 1.4678206 22.1280138 0.0213553 0.7176444 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00175} 
1536 2.71875 0.0 0.0 9.89 0.0107424 0.0155037 0.0167163 0.0126028 -0.0029421 0.0746761 1.5835199 1.4583033 20.3641974 0.0197318 0.7124007 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00175} 
1664 2.88281 0.0 0.0 10.13 0.0086284 0.0082895 0.0155773 0.0104627 -0.0033491 0.0621261 1.5834304 1.3984434 22.7104914 0.0155357 0.6798501 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00185} 
1792 2.9375 0.0 0.0 9.9 0.0071536 0.0052355 0.0149656 0.0062804 -0.0041081 0.0327329 1.5747798 1.3840989 24.8335036 0.0134773 0.6494973 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00185} 
1920 3.02344 0.0 0.0 10.16 0.00634 0.0041037 0.0159601 0.0059309 -0.004632 0.0286266 1.5697865 1.38535 27.3318853 0.0140757 0.610919 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00188} 
2048 3.0625 0.0 0.0 11.82 0.0059362 0.0037916 0.0161163 0.0040594 -0.0037116 0.0219386 1.5753811 1.3955087 29.368233 0.0111624 0.5775585 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00187} 
2176 3.09375 0.0 0.0 11.06 0.0052355 0.0032776 0.0155733 0.0035552 -0.0038693 0.0202027 1.5818606 1.41171 30.8353753 0.0098011 0.5407161 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00188} 
2304 3.125 0.0 0.0 11.19 0.0091149 0.0259186 0.0156781 0.0070013 -0.0045583 0.0399309 1.5736116 1.4184583 31.9786495 0.009254 0.5269854 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00187} 
2432 3.39844 0.0 0.0 10.81 0.0076533 0.00944 0.0178657 0.0114165 -0.0035336 0.0783143 1.5626116 1.4032077 32.7469461 0.0127841 0.5543841 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00176} 
2560 3.66406 0.0 0.0 11.45 0.0114071 0.0178362 0.0181097 0.0108166 -0.0037924 0.0813291 1.518477 1.3976316 33.3418132 0.0208907 0.6097489 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00186} 
2688 4.20312 0.0 0.0 13.58 0.0147473 0.0160005 0.020867 0.0164286 -0.0045136 0.104069 1.513096 1.4070705 31.202551 0.0256471 0.6495773 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00169} 
2816 4.80469 0.0 0.0 12.58 0.0181602 0.0260497 0.0204261 0.0174065 -0.0028087 0.1170345 1.5193676 1.4300104 24.5527899 0.0268743 0.7060171 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00162} 
2944 5.46094 0.0 0.0 11.95 0.0161033 0.0222987 0.0206407 0.0176526 -0.0030028 0.1123754 1.5186539 1.4342244 17.7230162 0.0264437 0.755383 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00134} 
3072 6.24219 0.0 0.0 11.98 0.0134123 0.0163508 0.026672 0.0255119 -0.0055065 0.1201481 1.5150158 1.4228528 13.7329403 0.023535 0.7868451 {} {'explored_rooms_count': 13, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00132} 
3200 6.875 0.0 0.0 10.28 0.0118636 0.0171525 0.0253838 0.0204095 -0.0040349 0.0983015 1.5119167 1.3980378 11.8528441 0.0212735 0.7828033 {} {'explored_rooms_count': 16, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00126} 
3328 7.15625 0.0 0.0 11.21 0.0116772 0.0171703 0.0217255 0.0142602 -0.0042713 0.0612494 1.510398 1.3772268 14.1622142 0.0181873 0.7192294 {} {'explored_rooms_count': 17, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00132} 
3456 7.39844 0.0 0.0 9.61 0.0087944 0.0140202 0.0209549 0.0121911 -0.0036652 0.0535109 1.5117153 1.365957 16.6815532 0.0160409 0.6934845 {} {'explored_rooms_count': 17, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00133} 
3584 7.60156 0.0 0.0 11.34 0.0080511 0.0096614 0.0211909 0.0117586 -0.0026559 0.054905 1.4851509 1.3708585 18.7808036 0.0152636 0.6801738 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00135} 
