0 0.0 0.0 0.0 0.38 0.0176548 0.0 7.65e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.53906 0.0 0.0 7.1 0.8210505 0.0249486 0.001066 0.0007688 -0.0052345 6.2018393 1.6758901 1.4051136 8.4629495 0.1180568 0.6142198 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00016} 
256 0.80469 0.0 0.0 5.87 0.1039839 0.0238393 0.0013733 0.0007183 -0.0035169 1.1099531 1.6646775 1.4254793 14.9614201 0.0602773 0.5925283 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00028} 
384 0.88281 0.0 0.0 5.85 0.0313051 0.0156732 0.0011189 0.0004774 -0.0027371 0.345611 1.6573786 1.4349622 18.0964118 0.0387068 0.5529724 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00035} 
512 0.96094 0.0 0.0 5.93 0.0186433 0.0116906 0.0010541 0.000426 -0.0021177 0.2220347 1.6563553 1.4297589 19.675283 0.0310229 0.5466838 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0004} 
640 0.98438 0.0 0.0 8.12 0.0147232 0.0071413 0.0010997 0.0003756 -0.0024014 0.132485 1.6570899 1.4337199 21.3446523 0.0243071 0.5373971 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00044} 
768 1.02344 0.0 0.0 11.16 0.0139079 0.0079199 0.0012054 0.0005089 -0.0028227 0.1100215 1.6567372 1.4224882 22.5551404 0.0226484 0.541105 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00051} 
896 1.16406 0.0 0.0 11.94 0.0127673 0.008168 0.0013839 0.0007032 -0.0041135 0.1203578 1.655787 1.4103705 25.0947538 0.0212628 0.5328199 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00068} 
1024 1.23438 0.0 0.0 9.03 0.0102702 0.0074863 0.0013322 0.0005017 -0.0036526 0.0675647 1.6557431 1.3993618 27.785956 0.0196825 0.5339471 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00079} 
1152 1.25781 0.0 0.0 9.69 0.0098064 0.0076226 0.0013377 0.0003882 -0.0040001 0.0444971 1.6553314 1.4086705 29.228452 0.0172865 0.5231627 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00078} 
1280 1.28906 0.0 0.0 10.52 0.0118824 0.0110088 0.0013269 0.0004589 -0.0049585 0.0414681 1.6565408 1.405249 29.6410321 0.0190585 0.5361839 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00084} 
