128 0 0 0.0 0.0 21.1 0.5268292 0.0095333 -7.824405 7.2655048 0.082938 1.2553321 0.0 0.5998388 0.063186 44.9260957 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 21.67 0.1078316 0.0311509 -0.4092675 1.2975253 0.0678681 1.2377161 0.0 0.4759648 0.1081725 74.7503018 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 21.88 0.0642804 0.0493607 0.3200354 1.0660352 0.0420617 1.1688177 0.0 0.5583362 0.1323021 86.7587508 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 21.97 0.0375877 0.0274401 0.6110189 0.744596 0.0285456 1.1289724 0.0 0.6522734 0.1454349 90.540435 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 22.39 0.0250334 0.018421 0.7027651 0.5718972 0.0207489 1.0978286 0.0 0.7096148 0.155587 93.1060716 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 21.35 0.0209231 0.0162914 0.6247365 0.374671 0.0175858 1.0724174 0.0 0.7857645 0.172688 94.044692 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 22.33 0.0181411 0.0123559 0.5527249 0.3462236 0.0161593 1.0604302 0.0 0.9135708 0.1674412 94.8664318 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 22.08 0.0147873 0.0088247 0.5392671 0.2244956 0.0143529 1.0444191 0.0 0.970222 0.1647663 94.4597326 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 22.46 0.0145534 0.0095692 0.4653186 0.1907668 0.0129355 1.0318332 0.0 0.9846191 0.1752498 94.8063679 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 22.98 0.013501 0.0086415 0.3820035 0.1396238 0.0128294 1.0243847 0.0 1.0626252 0.1710595 95.2459067 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 22.48 0.0123403 0.0078172 0.3147901 0.1095209 0.0122687 1.0237896 0.0 1.1325596 0.1638919 95.1351498 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 21.94 0.0127477 0.0071671 0.2659881 0.0826601 0.0117237 1.014307 0.0 1.1681312 0.1700621 96.4725746 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 22.6 0.0116392 0.0065473 0.2597518 0.0773945 0.0110564 1.0208799 0.0 1.1837687 0.185676 95.2856639 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 22.33 0.0107167 0.0061942 0.2197901 0.05593 0.0109086 1.0254482 0.0 1.2578147 0.198508 95.9199349 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 22.47 0.0104581 0.0062037 0.1700191 0.0424404 0.0109038 1.0248417 0.0 1.2870329 0.2007477 96.1252658 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 22.73 0.0115626 0.0069014 0.1345683 0.0336415 0.0108883 1.0136347 0.0 1.3232611 0.192641 96.211391 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 22.4 0.0109836 0.0071319 0.122201 0.0335128 0.0105556 1.0131194 0.0 1.3521293 0.1974774 95.9645996 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 22.95 0.0102725 0.0061474 0.099305 0.0281488 0.0100321 1.0119479 0.0 1.3264348 0.2027107 95.6513845 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 4 4 0.0 0.0 22.05 0.0107163 0.0068215 0.0973647 0.0242147 0.0098782 1.0076932 0.0 1.3829622 0.2028889 96.1719654 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 4 4 0.0 0.0 22.34 0.009771 0.0065952 0.0855948 0.0219449 0.0097269 0.9922192 0.0 1.4292461 0.1886999 96.2682641 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 4 4 0.0 0.0 22.48 0.0097202 0.0065584 0.0789125 0.0198487 0.0098447 0.9888055 0.0 1.4334144 0.190893 96.0713266 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 5 5 0.0 0.0 22.49 0.0102691 0.0073916 0.0659408 0.01843 0.009945 0.9816042 0.0 1.5457723 0.1929315 96.3927226 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 5 5 0.0 0.0 22.33 0.0109253 0.0078554 0.0495751 0.0193582 0.0103063 0.9626385 0.0 1.5459407 0.1738879 96.4646485 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 5 5 0.0 0.0 22.51 0.010667 0.0069547 0.0523001 0.018329 0.0101629 0.9650418 0.0 1.5130716 0.1668376 96.1230103 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 6 6 0.0 0.0 22.49 0.0108782 0.0075993 0.0434642 0.0199204 0.0105213 0.9563272 0.0 1.5741716 0.1660825 96.2031885 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 6 6 0.0 0.0 22.16 0.0105033 0.0077277 0.0465533 0.0196381 0.0105417 0.9477546 0.0 1.5987231 0.1666338 96.1145155 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 6 6 0.0 0.0 22.4 0.0105111 0.0068653 0.0374272 0.0168641 0.0100579 0.9473711 0.0 1.5766264 0.1600581 95.8781443 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 6 6 0.0 0.0 22.49 0.0101412 0.0069816 0.034492 0.0161829 0.0102425 0.9447783 0.0 1.5727808 0.1662843 96.5871084 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 7 7 0.0 0.0 22.34 0.0097681 0.0065255 0.0330911 0.0151434 0.0097751 0.9446691 0.0 1.6044274 0.1724164 96.4436793 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 7 7 0.0 0.0 22.6 0.0101061 0.0071901 0.0248765 0.0137397 0.0099336 0.9428384 0.0 1.6599158 0.1644757 96.2484267 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 7 7 0.0 0.0 22.43 0.0107796 0.0071174 0.0195195 0.0157902 0.0099179 0.9378809 0.0 1.6135392 0.1697844 96.2785821 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 8 8 0.0 0.0 22.4 0.0100328 0.0064588 0.0184661 0.0148502 0.009756 0.9350335 0.0 1.5906355 0.1633227 96.556108 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 8 8 0.0 0.0 21.62 0.0094971 0.0063248 0.015438 0.0122558 0.0094554 0.940754 0.0 1.6748801 0.1647267 95.86435 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 8 8 0.0 0.0 21.93 0.0098361 0.0059561 0.0108785 0.0115469 0.0092757 0.9411005 0.0 1.613732 0.1741781 96.4397311 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 9 9 0.0 0.0 21.62 0.0098508 0.0063998 0.0024725 0.0113633 0.009482 0.9290556 0.0 1.683364 0.1731187 96.4122246 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 9 9 0.0 0.0 21.77 0.0096999 0.0060768 -0.0025104 0.0103719 0.0092242 0.9288652 0.0 1.6458975 0.1696457 96.1737599 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
