128 0 0 0.0 0.0 68.62 0.0592155 0.0115052 0.0 0.0 -0.0033006 0.0204662 1.5669474 1.2606562 0.016347 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 91.18 0.0299142 0.0118999 0.0 0.0 -0.0036553 0.0061836 1.6571799 1.2579239 0.0144384 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 99.11 0.0227002 0.0114081 0.0 0.0 -0.0049088 0.0078074 1.6610418 1.2202129 0.0143147 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 98.31 0.017342 0.0094167 0.0 0.0 -0.0088221 0.0099125 1.6606176 1.1962557 0.0139226 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 99.14 0.0125695 0.0060644 0.0 0.0 -0.0106251 0.007407 1.6618146 1.1758954 0.0128343 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 98.33 0.010565 0.0047147 0.0 0.0 -0.0105292 0.0071854 1.6577277 1.1687762 0.0121138 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 98.63 0.0078756 0.0034956 0.0 0.0 -0.0108329 0.0058217 1.5824023 1.1663187 0.0103718 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 99.86 0.0064318 0.0033475 0.0 0.0 -0.0117353 0.0046244 1.5739429 1.1598155 0.0090279 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 99.07 0.0057712 0.0033445 0.0 0.0 -0.0130263 0.0037916 1.5730268 1.1582606 0.0085098 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 98.23 0.0050777 0.0029787 0.0 0.0 -0.0141029 0.0030793 1.5729972 1.1504121 0.0079121 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 98.91 0.0044153 0.0028098 0.0 0.0 -0.0150606 0.0023749 1.5724113 1.1553157 0.007171 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
