128 0 0 0.0 0.0 59.49 0.1947243 0.0043005 -2.9034552 0.9393077 0.116513 1.2507402 0.0 0.7030874 0.0765512 46.1363292 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 61.39 0.0453959 0.0140067 -0.2127616 0.1858062 0.1122875 1.2250417 0.0 0.5521293 0.1125508 77.5856068 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 60.98 0.0253119 0.0153406 0.1316177 0.1436988 0.0734279 1.1692762 0.0 0.5706421 0.1313581 87.571826 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 61.37 0.0170641 0.0109462 0.2432516 0.1259337 0.0510567 1.1253459 0.0 0.6171948 0.1441278 91.8070055 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 62.96 0.0121565 0.0094165 0.2881731 0.108922 0.0392204 1.0982768 0.0 0.6729441 0.1631894 93.2398615 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 62.55 0.0094609 0.0063545 0.2507953 0.0723706 0.0306657 1.0768576 0.0 0.7179968 0.1663306 94.5845404 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 64.13 0.0071573 0.0044753 0.245994 0.0552413 0.0243348 1.0552253 0.0 0.7445794 0.1727816 94.6023239 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 62.15 0.005921 0.0038053 0.2302617 0.0431492 0.0197415 1.0411478 0.0 0.7942753 0.1737636 95.5024532 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 61.78 0.0046114 0.002823 0.2030418 0.0301118 0.0165988 1.0399679 0.0 0.8210911 0.1719511 96.1061324 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 59.95 0.0040605 0.002696 0.1670287 0.0218786 0.0144143 1.0553282 0.0 0.8374398 0.1742091 95.742788 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 60.25 0.0037821 0.002314 0.1501573 0.0164938 0.0132538 1.0447451 0.0 0.8947746 0.1759069 95.7521573 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 59.79 0.0032008 0.0023234 0.1280621 0.012345 0.0119766 1.0418175 0.0 0.8993335 0.1805637 95.8752537 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 61.28 0.002961 0.0019628 0.1070281 0.0088762 0.011547 1.031017 0.0 0.9786927 0.1796288 95.6574328 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 61.15 0.0029866 0.001917 0.0935281 0.0070105 0.0112753 1.028762 0.0 1.0058265 0.1821013 95.8253281 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 61.52 0.0027721 0.0019854 0.0810595 0.0054567 0.0105127 1.0272265 0.0 1.0048255 0.1831405 95.7094704 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 61.08 0.0028779 0.0021035 0.0649275 0.0041836 0.0109179 1.0189534 0.0 1.0347522 0.18556 95.7477408 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
