128 0 0 0.0 0.0 59.2 0.0594714 0.0109989 0.0 0.0 -0.0035627 0.0842811 1.5889588 1.2080361 0.0173681 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 60.97 0.0317606 0.0124647 0.0 0.0 -0.0044481 0.0277134 1.6613107 1.1603218 0.0162791 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 61.37 0.0254576 0.0134148 0.0 0.0 -0.0053592 0.03412 1.6636512 1.1042852 0.0165075 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 77.62 0.0189382 0.0102487 0.0 0.0 -0.0072661 0.0398067 1.6627027 1.0627446 0.0166279 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 88.53 0.0144898 0.0065347 0.0 0.0 -0.0079198 0.036557 1.6598713 1.0386005 0.014993 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 2 2 0.0 0.0 87.16 0.010935 0.0048287 0.0 0.0 -0.0077174 0.0318889 1.6593838 1.0229345 0.013496 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 82.77 0.0089052 0.0040706 0.0 0.0 -0.0082134 0.0276344 1.6596989 1.0181817 0.0120421 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 3 3 0.0 0.0 77.5 0.0079139 0.0038283 0.0 0.0 -0.0085468 0.0238485 1.6570142 1.0101207 0.0111995 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 3 3 0.0 0.0 77.83 0.0068099 0.0030335 0.0 0.0 -0.0096897 0.0189487 1.5839377 1.0114777 0.0100919 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 82.25 0.005769 0.0026913 0.0 0.0 -0.0103909 0.0158366 1.5746692 1.0055028 0.008952 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 85.14 0.0051562 0.0027921 0.0 0.0 -0.011598 0.012018 1.5732015 1.0008638 0.0082766 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
