0 0.0 0.0 0.0 0.36 0.0216752 0.0 0.0010897 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.45312 0.0 0.0 7.19 0.9357297 0.0762766 0.0027537 0.0032622 -0.0036429 7.8497688 1.6850301 1.3070771 0.545085 0.1383719 0.6180519 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00013} 
256 0.78125 0.0 0.0 6.05 0.1230521 0.0313194 0.0050561 0.004714 -0.0034806 1.6344544 1.6749342 1.3658659 0.6476488 0.0910847 0.6069958 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00032} 
384 0.85156 0.0 0.0 6.29 0.0443593 0.0162172 0.0055355 0.0044743 -0.0025953 0.5145845 1.6691379 1.3655053 0.6749614 0.0649897 0.5669566 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00037} 
512 0.88281 0.0 0.0 6.07 0.0272025 0.0091338 0.0058295 0.0043821 -0.0021238 0.3108922 1.6603643 1.3658742 0.6837995 0.0491055 0.5521347 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00038} 
640 0.88281 0.0 0.0 5.84 0.0261251 0.0086725 0.006504 0.0048774 -0.0034527 0.1927995 1.6605604 1.3635694 0.6805446 0.0342348 0.5619535 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00038} 
768 0.94531 0.0 0.0 6.07 0.0201397 0.0132606 0.0070302 0.0059289 -0.0019294 0.2010731 1.6577985 1.3457971 0.6800349 0.028262 0.5580489 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00045} 
896 1.01562 0.0 0.0 6.1 0.0177477 0.0163362 0.006698 0.0054247 -0.0021434 0.1621648 1.6580766 1.3356175 0.6821754 0.0300323 0.5584879 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00053} 
1024 1.05469 0.0 0.0 6.17 0.0138575 0.010851 0.0069621 0.0053134 -0.0028624 0.1039865 1.6562789 1.3333685 0.6759768 0.0248632 0.5825242 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00058} 
1152 1.09375 0.0 0.0 6.45 0.0132376 0.0105804 0.0068083 0.0052615 -0.0022765 0.0873438 1.6558398 1.3257207 0.6752748 0.021291 0.5919882 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00065} 
1280 1.14062 0.0 0.0 6.41 0.0148664 0.0132196 0.0070277 0.005873 -0.0040515 0.0789323 1.6560603 1.3213759 0.6698651 0.0246667 0.5945596 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00072} 
