0 0.0 0.0 0.0 0.39 0.0153794 0.0 7.6e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
2944 5.60938 0.0 0.0 12.45 0.0093666 0.0169238 0.000196 0.0001293 -0.0025597 0.0232619 1.5115504 1.4155785 6.8284688 0.0146921 0.8940484 {} {'explored_rooms_count': 16, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00122} 
3072 5.92969 0.0 0.0 11.95 0.0089789 0.015181 0.0001858 0.0001269 -0.0024301 0.0249269 1.5124321 1.3953235 6.8825727 0.0146459 0.897451 {} {'explored_rooms_count': 17, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0013} 
3200 6.34375 0.0 0.0 10.44 0.0093855 0.0166079 0.0002058 0.0001328 -0.0030002 0.0310959 1.5103856 1.3963786 6.5743961 0.0150254 0.904848 {} {'explored_rooms_count': 19, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0013} 
3328 6.78906 0.0 0.0 11.13 0.0092575 0.0185015 0.0002034 0.0001265 -0.0028273 0.024245 1.5100525 1.3843351 6.1129268 0.0150188 0.9136131 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00128} 
3456 7.16406 0.0 0.0 10.33 0.0087406 0.0115161 0.0002027 0.0001209 -0.0029051 0.026273 1.5119899 1.3802529 5.8877117 0.0149732 0.919624 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00137} 
3584 7.5625 0.0 0.0 11.23 0.0105281 0.0148867 0.0002185 0.0001314 -0.0028508 0.0271214 1.5111605 1.3788907 5.9379696 0.0165287 0.9329587 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00148} 
3712 7.91406 0.0 0.0 12.52 0.0098837 0.0095592 0.0002131 0.0001159 -0.003073 0.0241366 1.5100303 1.3665103 6.0315938 0.0162416 0.9336674 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00148} 
3840 8.28125 0.0 0.0 11.09 0.0101739 0.0095937 0.0002132 0.000114 -0.0028251 0.0261475 1.5109399 1.3641739 6.1822684 0.016973 0.9351646 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00165} 
3968 8.78906 0.0 0.0 10.88 0.0090698 0.007675 0.0002167 0.0001134 -0.0042831 0.0261032 1.5096799 1.353007 5.8956317 0.0158383 0.9462252 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00176} 
4096 9.08594 0.0 0.0 9.94 0.0081377 0.0068729 0.0002049 0.000111 -0.0027839 0.0193475 1.501828 1.3387718 5.7237354 0.0146232 0.9508812 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00191} 
