0 0.0 0.0 0.0 0.38 0.0188243 0.0 0.0002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
2944 4.03125 0.0 0.0 5.52 0.010583 0.0097521 0.00459 0.0024811 -0.0042484 0.0382557 1.5210453 1.3013033 0.5560535 0.0189319 0.6890341 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00155} 
3072 4.55469 0.0 0.0 5.67 0.0141374 0.0201849 0.0050998 0.0025899 -0.0037057 0.0434672 1.5192125 1.3081926 0.5044006 0.0242516 0.722841 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00152} 
3200 4.97656 0.0 0.0 5.64 0.0149848 0.0235574 0.0050742 0.0025994 -0.0039353 0.0416033 1.5184802 1.3051692 0.5037714 0.0252897 0.719283 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00147} 
3328 5.71875 0.0 0.0 5.75 0.0146949 0.020087 0.0053867 0.0028168 -0.0035003 0.0512541 1.5166598 1.3042738 0.4650225 0.0230333 0.7395428 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00119} 
3456 6.58594 0.0 0.0 5.8 0.0143738 0.0184776 0.0053013 0.0028446 -0.0043918 0.048769 1.5140923 1.2879315 0.4195437 0.0224898 0.7735161 {} {'explored_rooms_count': 12, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00129} 
3584 7.45312 0.0 0.0 5.77 0.0140697 0.0250545 0.0056282 0.00283 -0.0040132 0.0470341 1.5067331 1.2717389 0.3528261 0.0217243 0.8265365 {} {'explored_rooms_count': 13, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00099} 
3712 8.24219 0.0 0.0 5.74 0.0152014 0.0220461 0.0057539 0.0029273 -0.0040778 0.0532127 1.4700467 1.2655067 0.3212002 0.0243197 0.8465441 {} {'explored_rooms_count': 16, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.001} 
3840 9.11719 0.0 0.0 5.67 0.0146453 0.0188221 0.0058563 0.0029343 -0.0042594 0.0600505 1.4656638 1.2613203 0.296713 0.0235844 0.8585562 {} {'explored_rooms_count': 19, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00103} 
3968 9.90625 0.0 0.0 5.65 0.0145883 0.0157967 0.0059421 0.002944 -0.0039193 0.0829135 1.4641287 1.2550656 0.2589422 0.0238914 0.8816389 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00108} 
4096 10.82812 0.0 0.0 5.81 0.0162111 0.0203606 0.0061073 0.0029859 -0.0054183 0.1137787 1.464091 1.2512251 0.2400149 0.0253824 0.8907785 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00116} 
4224 11.82031 0.0 0.0 5.96 0.0180676 0.0236211 0.0061472 0.0030464 -0.0033221 0.0938028 1.4583371 1.2312541 0.2066832 0.0271059 0.9067033 {} {'explored_rooms_count': 23, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00112} 
4352 12.89844 0.0 0.0 5.82 0.0147556 0.0147077 0.0061151 0.0030721 -0.0038458 0.0970555 1.4332839 1.222041 0.179897 0.0262165 0.9193209 {} {'explored_rooms_count': 24, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00108} 
4480 13.89844 0.0 0.0 6.12 0.0128589 0.0128545 0.0062402 0.0030082 -0.0036031 0.081441 1.4283841 1.2359289 0.1801854 0.023334 0.9191533 {} {'explored_rooms_count': 25, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00108} 
4608 14.75 0.0 0.0 5.58 0.014097 0.0201796 0.0062298 0.0029794 -0.0042838 0.0659362 1.4286878 1.2180779 0.1739529 0.0232682 0.9221174 {} {'explored_rooms_count': 27, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.001} 
4736 15.61719 0.0 0.0 5.61 0.0138336 0.0183202 0.006367 0.0030467 -0.0038378 0.0682495 1.4273846 1.2168301 0.1650667 0.0234557 0.9271212 {} {'explored_rooms_count': 31, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.0011} 
4864 16.49219 0.0 0.0 5.66 0.0146033 0.019182 0.0062008 0.0030924 -0.0038971 0.0604319 1.4294219 1.206854 0.155106 0.024439 0.9321428 {} {'explored_rooms_count': 36, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00106} 
4992 17.39844 0.0 0.0 5.7 0.0135623 0.0169241 0.0061643 0.0031574 -0.0038559 0.054855 1.4255319 1.2035324 0.1400529 0.0237817 0.9393168 {} {'explored_rooms_count': 38, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00118} 
5120 18.25 0.0 0.0 5.59 0.011521 0.0134289 0.0061767 0.003136 -0.0038013 0.0507771 1.4243404 1.2079638 0.1364546 0.0208784 0.9406506 {} {'explored_rooms_count': 41, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00127} 
5248 19.17188 0.0 0.0 5.67 0.0106786 0.0101554 0.0060438 0.0031351 -0.0037553 0.0399236 1.4046057 1.2156674 0.1278462 0.0199532 0.9446836 {} {'explored_rooms_count': 41, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0012} 
5376 19.89062 0.0 0.0 5.47 0.0105619 0.0118618 0.0066576 0.003054 -0.0039096 0.035336 1.3995988 1.2055298 0.1299611 0.0192353 0.9432539 {} {'explored_rooms_count': 43, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0014} 
5504 20.5625 0.0 0.0 5.86 0.0105565 0.0098829 0.0066653 0.0029705 -0.0040929 0.0313111 1.3971024 1.1981944 0.1284981 0.0188454 0.9444387 {} {'explored_rooms_count': 44, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00141} 
5632 21.40625 0.0 0.0 5.99 0.0107982 0.0129429 0.0066211 0.0030187 -0.0042345 0.0388452 1.3921943 1.1874358 0.1204646 0.0196005 0.9488248 {} {'explored_rooms_count': 47, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00136} 
5760 22.14062 0.0 0.0 5.92 0.0113631 0.0151381 0.0066817 0.0030454 -0.0032676 0.0373142 1.3716677 1.1902932 0.1248273 0.0195295 0.9471544 {} {'explored_rooms_count': 52, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00159} 
5888 22.79688 0.0 0.0 5.66 0.0098003 0.0121882 0.0068427 0.0029119 -0.0038732 0.0322262 1.3686039 1.1871536 0.1192702 0.0179122 0.9492152 {} {'explored_rooms_count': 55, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00156} 
6016 23.44531 0.0 0.0 5.58 0.0097674 0.0121193 0.0067294 0.002985 -0.003612 0.0299897 1.3666552 1.189743 0.1189058 0.0172793 0.9495898 {} {'explored_rooms_count': 56, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00134} 
6144 24.27344 0.0 0.0 5.73 0.0103178 0.0140469 0.0066168 0.0031152 -0.0039027 0.0348989 1.363808 1.1822225 0.10533 0.0180426 0.9565131 {} {'explored_rooms_count': 60, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0014} 
6272 25.07812 0.0 0.0 5.55 0.0085178 0.0096166 0.0067831 0.0029903 -0.0039622 0.0296452 1.3656401 1.1846735 0.1030415 0.0160752 0.9576918 {} {'explored_rooms_count': 61, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00158} 
6400 25.91406 0.0 0.0 5.56 0.0132871 0.0241586 0.0065607 0.0030525 -0.0045518 0.038101 1.3657894 1.1927313 0.1147362 0.0175045 0.9520062 {} {'explored_rooms_count': 65, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00124} 
6528 26.79688 0.0 0.0 5.62 0.0103451 0.0141157 0.0065438 0.0030943 -0.0050486 0.035558 1.3674701 1.1957152 0.1105574 0.0168899 0.9541201 {} {'explored_rooms_count': 67, 'episodic_explored_rooms_count': 11, 'episodic_explored_area': 0.00122} 
6656 27.52344 0.0 0.0 5.48 0.0113479 0.0133727 0.0066527 0.003054 -0.0035763 0.0341016 1.3557061 1.1716883 0.1232154 0.0188628 0.9478293 {} {'explored_rooms_count': 70, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00122} 
6784 28.28906 0.0 0.0 5.51 0.01199 0.0145797 0.0064322 0.0030585 -0.0039345 0.036883 1.3458018 1.1676453 0.1111391 0.0202394 0.9530535 {} {'explored_rooms_count': 72, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00134} 
6912 29.19531 0.0 0.0 5.62 0.0102079 0.0129046 0.0064619 0.0030994 -0.0037139 0.0379307 1.3448742 1.1746747 0.1037337 0.0177545 0.9577681 {} {'explored_rooms_count': 77, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00141} 
7040 29.92969 0.0 0.0 5.49 0.0113912 0.0137601 0.0066321 0.003008 -0.0043936 0.0302392 1.3435737 1.1695573 0.1145274 0.018946 0.9525323 {} {'explored_rooms_count': 80, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00123} 
7168 30.625 0.0 0.0 5.46 0.0112535 0.0109685 0.0063576 0.0031154 -0.0046182 0.0320257 1.3434809 1.1661665 0.1256244 0.01973 0.9471648 {} {'explored_rooms_count': 80, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00137} 
7296 31.375 0.0 0.0 5.71 0.0104988 0.0103989 0.0063971 0.0031011 -0.0046277 0.0295732 1.3434017 1.164729 0.1200363 0.0187093 0.9500452 {} {'explored_rooms_count': 82, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.0013} 
7424 32.07031 0.0 0.0 5.62 0.0094308 0.0095071 0.0067097 0.0030202 -0.0041432 0.0255165 1.3413839 1.1706995 0.1136771 0.0166934 0.9519585 {} {'explored_rooms_count': 83, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00147} 
7552 32.79688 0.0 0.0 5.65 0.0086711 0.0091129 0.0064846 0.0030693 -0.0050452 0.023309 1.3416601 1.1625486 0.1247688 0.0155718 0.9464485 {} {'explored_rooms_count': 83, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00151} 
7680 33.48438 0.0 0.0 5.62 0.0083013 0.0071118 0.0067968 0.0030117 -0.0040318 0.0217296 1.3447193 1.1800163 0.1444133 0.0146096 0.9398956 {} {'explored_rooms_count': 84, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.0014} 
7808 34.11719 0.0 0.0 5.57 0.0084437 0.0070155 0.0066993 0.0029809 -0.0041192 0.0202867 1.3417769 1.1654156 0.1483384 0.0150005 0.9357017 {} {'explored_rooms_count': 84, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00138} 
7936 34.57812 0.0 0.0 5.44 0.0083777 0.0068756 0.0066624 0.0030018 -0.0046613 0.0155129 1.336572 1.1575589 0.1443635 0.0150237 0.9374978 {} {'explored_rooms_count': 84, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.00142} 
8064 35.01562 0.0 0.0 5.41 0.0089077 0.0080948 0.0068662 0.0028955 -0.0046413 0.0150972 1.3221236 1.1501224 0.138518 0.0151922 0.9397286 {} {'explored_rooms_count': 84, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.00147} 
8192 35.5 0.0 0.0 5.44 0.0086793 0.0076175 0.0066566 0.002975 -0.0056635 0.0160114 1.321263 1.1565364 0.1398149 0.0157125 0.9394062 {} {'explored_rooms_count': 84, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00148} 
8320 35.98438 0.0 0.0 5.33 0.0091296 0.0082622 0.006763 0.0028993 -0.0045582 0.0161412 1.3185977 1.1487867 0.1183737 0.0158758 0.9484187 {} {'explored_rooms_count': 84, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00156} 
8448 36.57031 0.0 0.0 5.35 0.0092193 0.0088452 0.0068447 0.002966 -0.0052872 0.0193168 1.3173182 1.1310065 0.1167133 0.0165899 0.9493337 {} {'explored_rooms_count': 84, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00188} 
8576 37.09375 0.0 0.0 5.37 0.0083233 0.007768 0.0067993 0.00301 -0.0041271 0.0164392 1.3143458 1.1331731 0.1110348 0.0150428 0.9528922 {} {'explored_rooms_count': 85, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00208} 
8704 37.48438 0.0 0.0 5.36 0.0082519 0.006569 0.0070175 0.002933 -0.0048911 0.0139051 1.2975842 1.1377701 0.1005231 0.0145971 0.9575445 {} {'explored_rooms_count': 85, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00206} 
8832 37.89844 0.0 0.0 5.38 0.008954 0.008401 0.0068126 0.0029721 -0.0042134 0.0167939 1.2950963 1.1333865 0.1314513 0.0157731 0.9423846 {} {'explored_rooms_count': 85, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.0021} 
8960 38.48438 0.0 0.0 5.54 0.0081387 0.0064331 0.0062489 0.0030758 -0.0049941 0.0183729 1.2881404 1.1351639 0.1384161 0.0154218 0.9386065 {} {'explored_rooms_count': 88, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00196} 
9088 39.01562 0.0 0.0 5.85 0.007754 0.0053724 0.0062333 0.0030454 -0.0043147 0.0150418 1.283601 1.1532642 0.1382317 0.0145134 0.9387829 {} {'explored_rooms_count': 88, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00177} 
9216 39.41406 0.0 0.0 5.25 0.0075557 0.0047826 0.0061339 0.0030655 -0.0043742 0.0119837 1.2801449 1.1671795 0.1481216 0.0136332 0.935236 {} {'explored_rooms_count': 90, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00168} 
9344 39.75 0.0 0.0 5.19 0.0078259 0.005741 0.0062172 0.003004 -0.0050971 0.0103117 1.2759463 1.1552514 0.1659419 0.0140522 0.9267499 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.0016} 
9472 40.15625 0.0 0.0 5.21 0.0079636 0.005874 0.0060093 0.0030533 -0.0044261 0.0115112 1.2668932 1.1550283 0.1766218 0.0144779 0.9196111 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00164} 
9600 40.57031 0.0 0.0 5.27 0.0076669 0.0062351 0.00594 0.0030239 -0.0046599 0.0121427 1.2598125 1.1496442 0.1586198 0.0143507 0.9252911 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.0016} 
9728 40.89844 0.0 0.0 5.15 0.0080612 0.0076498 0.0062946 0.0029564 -0.0054568 0.0106561 1.2605205 1.1527566 0.1629266 0.0141576 0.9242957 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00177} 
9856 41.35156 0.0 0.0 5.25 0.0077097 0.0067324 0.0061642 0.0030452 -0.0047799 0.0123696 1.2598836 1.1543808 0.1901361 0.0143701 0.9121006 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00174} 
9984 41.75 0.0 0.0 5.2 0.0078075 0.0073204 0.0061406 0.0030423 -0.0044212 0.0125902 1.2523983 1.15484 0.1917032 0.0141102 0.9057563 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00159} 
10112 42.1875 0.0 0.0 5.31 0.0072255 0.0056179 0.0060725 0.0030491 -0.003755 0.0117819 1.2382241 1.1586254 0.1839051 0.0135612 0.908951 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.0016} 
10240 42.58594 0.0 0.0 5.2 0.0075846 0.0072716 0.0061762 0.0030758 -0.0038541 0.011208 1.2351312 1.1522002 0.1803377 0.0139799 0.912779 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00162} 
10368 42.82812 0.0 0.0 5.15 0.00779 0.0066432 0.0061673 0.0029751 -0.0037989 0.0086008 1.2301117 1.1503012 0.1847468 0.0136798 0.9129662 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00164} 
10496 43.17188 0.0 0.0 5.42 0.0071227 0.005433 0.0059316 0.0030204 -0.0039092 0.0106158 1.2261754 1.1485777 0.1972192 0.0134588 0.9057371 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.0017} 
10624 43.57812 0.0 0.0 5.25 0.0067648 0.0044742 0.0058765 0.003038 -0.0053191 0.0112717 1.2285264 1.1604106 0.1783117 0.0130978 0.9141479 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00186} 
10752 44.0 0.0 0.0 5.27 0.0063045 0.0038299 0.006205 0.003005 -0.0044488 0.0093998 1.226873 1.1518188 0.1619434 0.0117984 0.9234956 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00174} 
10880 44.32031 0.0 0.0 5.19 0.0066168 0.004195 0.0062562 0.0029657 -0.0044216 0.0080616 1.2256376 1.1477599 0.17423 0.0120542 0.9192938 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00168} 
11008 44.625 0.0 0.0 5.31 0.0066263 0.0048558 0.006212 0.0029614 -0.0047117 0.0082706 1.219074 1.1314194 0.1806499 0.0121115 0.9166949 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00164} 
11136 45.02344 0.0 0.0 5.39 0.0066329 0.0047043 0.006012 0.0030067 -0.0053086 0.0096912 1.2145532 1.1318991 0.1962935 0.0121342 0.9047258 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00155} 
11264 45.38281 0.0 0.0 5.34 0.0064905 0.0058468 0.0060286 0.0029532 -0.0048722 0.0090659 1.2105534 1.1337301 0.186998 0.0121337 0.9104545 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00157} 
11392 45.6875 0.0 0.0 5.3 0.0066243 0.005075 0.0062184 0.0028841 -0.0051049 0.0081339 1.214367 1.1323707 0.1880031 0.0125325 0.909748 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.0016} 
11520 46.03906 0.0 0.0 5.18 0.0065931 0.0042529 0.0061771 0.0029302 -0.0042903 0.0081128 1.2081333 1.1282959 0.1841463 0.0121072 0.9139245 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00161} 
11648 46.34375 0.0 0.0 5.18 0.0062276 0.0036609 0.0061699 0.0029311 -0.0056671 0.0077217 1.2077006 1.131697 0.1677243 0.0115969 0.9219311 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00158} 
11776 46.80469 0.0 0.0 5.29 0.0061863 0.0044463 0.0061168 0.003002 -0.0049557 0.0088796 1.2062418 1.1314235 0.1763453 0.0117547 0.9199994 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00167} 
11904 47.14062 0.0 0.0 5.32 0.0064135 0.0048572 0.0064572 0.0028925 -0.0042879 0.007495 1.2071503 1.1382158 0.1677936 0.0116631 0.924288 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00165} 
12032 47.57031 0.0 0.0 5.4 0.0075915 0.0099528 0.0062151 0.0029468 -0.0040682 0.0104196 1.2103349 1.1389541 0.1784211 0.0130883 0.9173648 {} {'explored_rooms_count': 93, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00175} 
12160 47.89062 0.0 0.0 5.32 0.0077782 0.0082695 0.0063099 0.0029454 -0.0044472 0.0087096 1.2063363 1.129653 0.1653104 0.013098 0.9269278 {} {'explored_rooms_count': 94, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00159} 
12288 48.30469 0.0 0.0 5.42 0.0066602 0.0066303 0.0062787 0.002961 -0.0036333 0.0088995 1.2048332 1.1387357 0.169901 0.0121453 0.9233851 {} {'explored_rooms_count': 97, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00179} 
12416 48.71094 0.0 0.0 5.8 0.0065108 0.0077443 0.0063665 0.0029388 -0.0038719 0.0084506 1.2052142 1.1433745 0.158337 0.0114705 0.9287691 {} {'explored_rooms_count': 99, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0016} 
12544 49.05469 0.0 0.0 5.27 0.0066946 0.0087112 0.0062549 0.0029505 -0.0041563 0.0090323 1.198396 1.1373232 0.1670414 0.011657 0.924516 {} {'explored_rooms_count': 100, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00154} 
12672 49.34375 0.0 0.0 5.13 0.0067735 0.006907 0.0063319 0.0028989 -0.0043372 0.0081135 1.1926487 1.1343222 0.1786066 0.0120519 0.9189837 {} {'explored_rooms_count': 100, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00148} 
