128 0 0 0.0 0.0 69.53 0.0555559 0.0107156 0.0 0.0 -0.0033234 0.0561248 0.0 1.253147 0.018731 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 72.06 0.0330975 0.0138598 0.0 0.0 -0.0050393 0.037915 0.0 1.264124 0.0161514 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 72.77 0.0312599 0.0186004 0.0 0.0 -0.0079318 0.0864116 0.0 1.2290451 0.0169343 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 74.42 0.021721 0.0099825 0.0 0.0 -0.0075157 0.1210585 0.0 1.196567 0.0165512 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 75.96 0.0147162 0.0063495 0.0 0.0 -0.0071394 0.1318691 0.0 1.1813647 0.0146675 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 73.04 0.0105326 0.0047125 0.0 0.0 -0.0055412 0.1135916 0.0 1.1717304 0.0123922 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 71.99 0.0074901 0.0034828 0.0 0.0 -0.0056694 0.107693 0.0 1.1737658 0.0104321 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 72.11 0.0063341 0.0031891 0.0 0.0 -0.0055371 0.0752548 0.0 1.1691994 0.0091009 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 73.01 0.0059976 0.0042727 0.0 0.0 -0.0065344 0.0631949 0.0 1.1600955 0.0085003 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 71.37 0.0049252 0.0030675 0.0 0.0 -0.0074035 0.0481353 0.0 1.1666718 0.0076972 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 72.97 0.0044339 0.0033442 0.0 0.0 -0.0074255 0.0368744 0.0 1.164293 0.0069924 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 75.64 0.0038738 0.0029657 0.0 0.0 -0.0086209 0.0277938 0.0 1.1655696 0.0063568 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 75.16 0.0037981 0.0035328 0.0 0.0 -0.009471 0.0225798 0.0 1.161586 0.0064303 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
