128 0 0 0.0 0.0 39.28 0.3201603 0.0074743 -4.7632666 2.6554482 0.1121443 1.2327263 0.0 0.6831208 0.08125 51.074533 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 39.12 0.0756034 0.0238658 -0.403052 0.4814967 0.0965286 1.2070277 0.0 0.5209228 0.1109427 80.6192322 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 41.13 0.0452568 0.030173 0.1438347 0.4263235 0.0580046 1.1508002 0.0 0.572707 0.1263118 90.5534282 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 54.46 0.0264823 0.0179058 0.4239565 0.3542685 0.0387522 1.1015498 0.0 0.660026 0.1380303 94.5509299 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 54.36 0.0181249 0.0116922 0.4637859 0.2568165 0.0289333 1.0678242 0.0 0.7597842 0.1411212 95.7544803 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 2 2 0.0 0.0 54.6 0.0141481 0.0089826 0.4696036 0.2031341 0.0218107 1.0404955 0.0 0.8303161 0.151193 96.2837066 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 54.54 0.0102887 0.006996 0.4090037 0.1339893 0.0176624 1.0231821 0.0 0.933435 0.1554484 96.5590132 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 55.46 0.0081176 0.0051063 0.3628666 0.1054909 0.0149919 1.0156314 0.0 1.0400065 0.1557123 96.1856568 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 57.01 0.0070822 0.0041139 0.2927751 0.0550871 0.0133845 1.0016366 0.0 1.1016791 0.1641958 96.6354006 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 57.67 0.0066279 0.003999 0.2494487 0.0441652 0.0122745 0.9920837 0.0 1.126989 0.1627125 96.7042369 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 58.04 0.0057751 0.0034856 0.2169694 0.0370989 0.0114875 1.0010568 0.0 1.1896152 0.1779501 96.9395135 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 57.0 0.0054144 0.0033531 0.1912507 0.025625 0.01064 1.0009618 0.0 1.1654412 0.1798876 96.825917 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 55.82 0.0051971 0.0032724 0.1494426 0.0194082 0.0102329 0.9907441 0.0 1.1327583 0.1796714 97.4822785 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 54.75 0.0054505 0.0035284 0.1282756 0.0172411 0.0092345 0.993307 0.0 1.1555186 0.18112 97.1288716 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 53.67 0.0045775 0.0034895 0.1180653 0.0137728 0.0090325 0.9950924 0.0 1.1591333 0.1879533 96.9157482 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 53.28 0.0044585 0.0037332 0.1032156 0.0101717 0.0088193 0.9922009 0.0 1.168614 0.1883511 97.0072675 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 52.27 0.0046476 0.0035465 0.0805668 0.0081444 0.0087004 0.9966951 0.0 1.1704705 0.1952641 97.1300582 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 52.25 0.0049795 0.0039642 0.0624366 0.0073547 0.0088048 0.9919535 0.0 1.1973555 0.1987305 97.1453119 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 50.29 0.0046107 0.0035965 0.0543986 0.0062712 0.0086101 0.9748653 0.0 1.2183698 0.1916246 96.9091341 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 4 4 0.0 0.0 48.62 0.0043378 0.003453 0.048449 0.0053494 0.0083796 0.9675343 0.0 1.2357578 0.1857732 97.2256389 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 4 4 0.0 0.0 49.67 0.004453 0.0035298 0.039476 0.0049384 0.0085184 0.9598516 0.0 1.2612751 0.1907946 97.0753536 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 4 4 0.0 0.0 49.2 0.0043169 0.0035917 0.032414 0.0047965 0.0085363 0.9656694 0.0 1.2622213 0.2068064 96.9741111 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 4 4 0.0 0.0 50.08 0.0042406 0.0033443 0.0285219 0.0034825 0.0081851 0.9502983 0.0 1.2579229 0.1882629 97.2915774 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 4 4 0.0 0.0 50.17 0.0041196 0.0028914 0.0260557 0.0034221 0.0078835 0.9396908 0.0 1.3022151 0.1735792 96.9107555 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 4 4 0.0 0.0 52.29 0.0038205 0.0030297 0.0217273 0.0032971 0.0079876 0.9490966 0.0 1.2708501 0.187467 96.9175479 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 4 4 0.0 0.0 51.87 0.0040408 0.0030718 0.0135667 0.0027467 0.0077275 0.955946 0.0 1.2219849 0.1918644 96.6323914 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 4 4 0.0 0.0 52.97 0.0038377 0.0028576 0.0125365 0.0023538 0.0075893 0.9504013 0.0 1.2434797 0.212708 97.2320242 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 4 4 0.0 0.0 53.42 0.0038476 0.0029031 0.0092324 0.0022918 0.0075503 0.9506038 0.0 1.2584586 0.2136462 96.9016483 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 4 4 0.0 0.0 53.82 0.0039786 0.0033854 0.003324 0.0026236 0.0075444 0.9513236 0.0 1.2484333 0.2117434 96.8447629 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 5 5 0.0 0.0 54.54 0.0039655 0.0031919 0.007022 0.0024813 0.0073 0.9458041 0.0 1.2904905 0.2017778 97.0711002 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 5 5 0.0 0.0 54.89 0.0037489 0.0027499 0.0080475 0.0022074 0.0071219 0.9374204 0.0 1.3221684 0.1958531 97.0665178 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 5 5 0.0 0.0 53.55 0.0037147 0.0024907 0.0025038 0.0018057 0.007017 0.934977 0.0 1.2784132 0.2054648 97.3097211 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 6 6 0.0 0.0 53.24 0.0036972 0.0025149 0.0037001 0.0020091 0.007418 0.9204193 0.0 1.3116835 0.1945771 97.5607533 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 6 6 0.0 0.0 51.71 0.0037992 0.0024541 0.0014551 0.0018081 0.0075623 0.9176572 0.0 1.3296515 0.1858574 96.9544176 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 6 6 0.0 0.0 51.23 0.0036669 0.0021923 0.002009 0.0016795 0.0071889 0.9118575 0.0 1.3472459 0.1790451 97.3182289 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 6 6 0.0 0.0 50.91 0.0035409 0.0021485 0.0016576 0.00164 0.0070204 0.9073726 0.0 1.3390539 0.175205 96.9125236 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 6 6 0.0 0.0 49.46 0.0036542 0.0024056 0.0016005 0.0016592 0.0070923 0.9047595 0.0 1.34382 0.1724425 97.473925 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 6 6 0.0 0.0 48.22 0.0037664 0.0021535 -0.0014479 0.0015154 0.0070079 0.9065401 0.0 1.3667901 0.1797609 97.2559162 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 6 6 0.0 0.0 48.96 0.0038112 0.0024951 -0.0022345 0.0016885 0.0070516 0.8926245 0.0 1.3491878 0.1677912 97.8087722 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 7 7 0.0 0.0 50.39 0.0035748 0.002058 0.0014341 0.0014588 0.0067693 0.8968404 0.0 1.3614594 0.164902 97.3106304 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 7 7 0.0 0.0 52.08 0.0035648 0.0019883 -3.1e-05 0.0014102 0.0068919 0.8946452 0.0 1.3625613 0.1668655 97.4698634 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 8 8 0.0 0.0 52.78 0.0034324 0.0018647 0.0007929 0.0013551 0.0067493 0.8888989 0.0 1.3918892 0.1633721 96.9078938 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 8 8 0.0 0.0 53.08 0.0033503 0.0019161 0.0016904 0.0013957 0.0066439 0.8863523 0.0 1.4227282 0.163538 97.2636597 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 8 8 0.0 0.0 55.07 0.0034795 0.0021412 -0.0005256 0.0014496 0.0069442 0.8834709 0.0 1.414866 0.1638407 96.9308564 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 9 9 0.0 0.0 56.2 0.0034613 0.0020445 -0.0019156 0.0013617 0.0068943 0.8903412 0.0 1.4174115 0.1638687 97.0999044 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 9 9 0.0 0.0 55.38 0.0035271 0.0021427 -0.0038953 0.0013396 0.0070465 0.8940964 0.0 1.4024212 0.1798586 97.1933564 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 9 9 0.0 0.0 55.3 0.003687 0.001934 -0.004987 0.0013314 0.0067682 0.8843483 0.0 1.4120249 0.1766378 97.1846763 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
