128 0 0 0.0 0.0 44.63 -0.2856268 0.1233348  {'room_id': 100, 'explored_rooms': 9, 'raw_score': 0.0} 
5504 10 10 132.290165824 9.601459006800003 39.44 -0.0456997 0.1588926  {'room_id': 162, 'explored_rooms': 152, 'raw_score': 132.290165824} 
5632 10 10 132.290165824 9.601459006800003 40.1 -0.0399313 0.1637551  {'room_id': 227, 'explored_rooms': 152, 'raw_score': 132.290165824} 
5760 10 10 132.290165824 9.601459006800003 39.81 -0.0352001 0.1636167  {'room_id': 104, 'explored_rooms': 152, 'raw_score': 132.290165824} 
5888 11 11 133.56114924160002 9.841313106120001 39.29 0.0083128 0.1544289  {'room_id': 210, 'explored_rooms': 152, 'raw_score': 133.56114924160002} 
6016 11 11 133.56114924160002 9.841313106120001 39.42 -0.0051368 0.1420413  {'room_id': 228, 'explored_rooms': 152, 'raw_score': 133.56114924160002} 
6144 11 11 133.56114924160002 9.841313106120001 38.9 -0.0256313 0.142511  {'room_id': 196, 'explored_rooms': 152, 'raw_score': 133.56114924160002} 
6272 12 12 139.20503431744004 10.357181795508001 37.07 -0.0164137 0.1519982  {'room_id': 68, 'explored_rooms': 152, 'raw_score': 139.20503431744004} 
6400 12 12 139.20503431744004 10.357181795508001 36.51 -0.0002268 0.1603426  {'room_id': 194, 'explored_rooms': 152, 'raw_score': 139.20503431744004} 
6528 12 12 139.20503431744004 10.357181795508001 36.86 -0.0160836 0.1577771  {'room_id': 19, 'explored_rooms': 152, 'raw_score': 139.20503431744004} 
6656 12 12 139.20503431744004 10.357181795508001 38.56 -0.0188955 0.1650022  {'room_id': 83, 'explored_rooms': 152, 'raw_score': 139.20503431744004} 
6784 12 12 139.20503431744004 10.357181795508001 38.35 -0.035984 0.1477806  {'room_id': 4, 'explored_rooms': 152, 'raw_score': 139.20503431744004} 
6912 13 13 148.78453088569603 11.021463615957202 35.51 -0.0521933 0.14333  {'room_id': 35, 'explored_rooms': 152, 'raw_score': 148.78453088569603} 
7040 13 13 148.78453088569603 11.021463615957202 36.63 -0.0475372 0.1227972  {'room_id': 20, 'explored_rooms': 152, 'raw_score': 148.78453088569603} 
7168 13 13 148.78453088569603 11.021463615957202 35.34 -0.0292595 0.1388883  {'room_id': 242, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
7296 13 13 148.78453088569603 11.021463615957202 36.5 -0.0312439 0.1537035  {'room_id': 19, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
7424 13 13 148.78453088569603 11.021463615957202 36.12 -0.0563116 0.1449013  {'room_id': 147, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
7552 13 13 148.78453088569603 11.021463615957202 35.03 -0.0195058 0.1582523  {'room_id': 243, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
7680 13 13 148.78453088569603 11.021463615957202 34.21 -0.0049137 0.1454342  {'room_id': 165, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
7808 13 13 148.78453088569603 11.021463615957202 36.65 -0.0033851 0.1546276  {'room_id': 38, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
7936 13 13 148.78453088569603 11.021463615957202 36.22 -0.033186 0.1506378  {'room_id': 151, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
8064 13 13 148.78453088569603 11.021463615957202 36.52 -0.0367978 0.1599223  {'room_id': 227, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
8192 13 13 148.78453088569603 11.021463615957202 34.73 -0.0260229 0.1456103  {'room_id': 68, 'explored_rooms': 153, 'raw_score': 148.78453088569603} 
8320 14 14 205.90607779712644 14.419317254361482 35.47 -0.0081926 0.1585515  {'room_id': 71, 'explored_rooms': 153, 'raw_score': 205.90607779712644} 
8448 14 14 205.90607779712644 14.419317254361482 35.47 -0.0190163 0.1603724  {'room_id': 163, 'explored_rooms': 153, 'raw_score': 205.90607779712644} 
8576 14 14 205.90607779712644 14.419317254361482 38.13 -0.0065178 0.1707886  {'room_id': 212, 'explored_rooms': 153, 'raw_score': 205.90607779712644} 
8704 14 14 205.90607779712644 14.419317254361482 37.59 -0.0350008 0.1624555  {'room_id': 34, 'explored_rooms': 153, 'raw_score': 205.90607779712644} 
8832 15 15 218.81547001741382 15.277385528925334 36.13 -0.0264042 0.1698875  {'room_id': 68, 'explored_rooms': 153, 'raw_score': 218.81547001741382} 
8960 15 15 218.81547001741382 15.277385528925334 36.86 -0.0388412 0.1484428  {'room_id': 210, 'explored_rooms': 153, 'raw_score': 218.81547001741382} 
9088 15 15 218.81547001741382 15.277385528925334 37.24 -0.0324685 0.1426687  {'room_id': 40, 'explored_rooms': 153, 'raw_score': 218.81547001741382} 
9216 15 15 218.81547001741382 15.277385528925334 38.03 -0.0545026 0.1576739  {'room_id': 88, 'explored_rooms': 153, 'raw_score': 218.81547001741382} 
9344 15 15 218.81547001741382 15.277385528925334 39.36 -0.0569009 0.155423  {'room_id': 88, 'explored_rooms': 153, 'raw_score': 218.81547001741382} 
9472 15 15 218.81547001741382 15.277385528925334 40.67 -0.0590881 0.1276602  {'room_id': 120, 'explored_rooms': 153, 'raw_score': 218.81547001741382} 
9600 16 16 232.93392301567243 16.2496469760328 40.64 -0.0461033 0.1389474  {'room_id': 51, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
9728 16 16 232.93392301567243 16.2496469760328 40.9 -0.0509866 0.149503  {'room_id': 20, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
9856 16 16 232.93392301567243 16.2496469760328 41.47 -0.0427507 0.154376  {'room_id': 150, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
9984 16 16 232.93392301567243 16.2496469760328 40.92 -0.0670215 0.1678769  {'room_id': 247, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
10112 16 16 232.93392301567243 16.2496469760328 40.37 -0.0535117 0.1443128  {'room_id': 199, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
10240 16 16 232.93392301567243 16.2496469760328 40.14 -0.0397816 0.1425254  {'room_id': 4, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
10368 16 16 232.93392301567243 16.2496469760328 38.23 -0.0260734 0.1370807  {'room_id': 179, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
10496 16 16 232.93392301567243 16.2496469760328 39.16 -0.0321107 0.1564609  {'room_id': 151, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
10624 16 16 232.93392301567243 16.2496469760328 40.92 -0.0641565 0.1606836  {'room_id': 149, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
10752 16 16 232.93392301567243 16.2496469760328 39.76 -0.0672063 0.1439768  {'room_id': 34, 'explored_rooms': 153, 'raw_score': 232.93392301567243} 
10880 17 17 279.1405307141052 18.92468227842952 41.85 -0.0782176 0.1508246  {'room_id': 194, 'explored_rooms': 153, 'raw_score': 279.1405307141052} 
11008 17 17 279.1405307141052 18.92468227842952 41.96 -0.0365886 0.1526255  {'room_id': 211, 'explored_rooms': 153, 'raw_score': 279.1405307141052} 
11136 17 17 279.1405307141052 18.92468227842952 43.39 -0.0650558 0.1526976  {'room_id': 166, 'explored_rooms': 153, 'raw_score': 279.1405307141052} 
11264 17 17 279.1405307141052 18.92468227842952 44.69 -0.0377839 0.1538912  {'room_id': 39, 'explored_rooms': 153, 'raw_score': 279.1405307141052} 
11392 17 17 279.1405307141052 18.92468227842952 42.32 -0.0604309 0.1478362  {'room_id': 167, 'explored_rooms': 153, 'raw_score': 279.1405307141052} 
11520 17 17 279.1405307141052 18.92468227842952 43.23 -0.0399142 0.13775  {'room_id': 224, 'explored_rooms': 153, 'raw_score': 279.1405307141052} 
11648 18 18 295.2264776426947 19.732214050586567 42.73 -0.027215 0.1575283  {'room_id': 68, 'explored_rooms': 153, 'raw_score': 295.2264776426947} 
11776 18 18 295.2264776426947 19.732214050586567 42.89 -0.001895 0.1603923  {'room_id': 163, 'explored_rooms': 153, 'raw_score': 295.2264776426947} 
11904 18 18 295.2264776426947 19.732214050586567 42.05 -0.0296316 0.1665612  {'room_id': 178, 'explored_rooms': 153, 'raw_score': 295.2264776426947} 
