128 0 0 0.0 0.0 16.48 0.1877956 0.0038572 -2.7976219 0.8489824 0.1195216 1.2267183 0.0 0.5909304 0.0775956 51.5544749 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 16.38 0.0440151 0.0159121 -0.2568047 0.1524692 0.1095384 1.2008548 0.0 0.5341288 0.1244697 81.5396816 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 16.53 0.0240037 0.016727 0.0980655 0.1195059 0.0636373 1.1527325 0.0 0.5703665 0.1495077 88.9626065 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 16.24 0.013764 0.0103762 0.2544472 0.1103282 0.0415482 1.1112627 0.0 0.6166357 0.1619897 92.256529 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 16.53 0.01034 0.0076463 0.2656271 0.0804158 0.0314021 1.0770724 0.0 0.6638486 0.1651088 94.1803993 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 16.57 0.0073616 0.0046282 0.2642243 0.0585064 0.023171 1.0538054 0.0 0.7070759 0.1605791 95.4706458 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 18.76 0.005331 0.0037885 0.2407146 0.0402631 0.0183506 1.0424186 0.0 0.7636762 0.1766261 95.6003901 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 21.35 0.0045951 0.0029135 0.2176236 0.0343954 0.0156392 1.0357066 0.0 0.7823866 0.178673 96.2320261 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 21.34 0.0037731 0.0022185 0.1819217 0.0230011 0.0136513 1.030699 0.0 0.8304463 0.1758238 95.7687351 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 21.54 0.0030912 0.0018515 0.1574689 0.0183353 0.0124796 1.0448342 0.0 0.8696981 0.1859898 96.0221417 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 21.2 0.0030295 0.001808 0.1351922 0.0121429 0.012057 1.050258 0.0 0.8933373 0.205144 95.8876238 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
