128 0 0 0.0 0.0 44.9 0.029288 0.0055733 -0.4087963 0.0134895 0.0200068 1.1615178 0.2299067 0.352038 0.1112879 67.5014477 31.1836837  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 1 1 0.0 0.0 45.02 0.0188527 0.0084542 -0.1936978 0.0151342 0.0186692 1.1038793 0.2273135 0.4642335 0.1757842 92.0771255 31.7278854  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 56.83 0.016215 0.009862 -0.1005577 0.0262874 0.0193209 1.0321147 0.2149251 0.5276865 0.197868 97.6722875 41.9486015  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 62.21 0.0116545 0.006624 0.01325 0.0324563 0.019 0.9751902 0.1872638 0.6112245 0.1879384 98.5840202 50.9164817  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 2 2 0.0 0.0 61.15 0.0083642 0.0042364 0.0805628 0.0304618 0.0186168 0.930471 0.1711815 0.6936163 0.1687404 98.5512147 55.5594998  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 2 2 0.0 0.0 62.43 0.0067704 0.0032233 0.118734 0.0248968 0.0170603 0.9153123 0.1567748 0.7713173 0.1681254 98.7189591 59.3290418  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 62.62 0.0055966 0.0029822 0.12836 0.0197566 0.0163112 0.9032248 0.149571 0.8034219 0.1579013 98.7178938 60.6687475  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 62.99 0.005118 0.002722 0.1130402 0.0157849 0.0153179 0.8913016 0.142167 0.8410577 0.1484231 98.5846304 62.7322708  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 3 3 0.0 0.0 60.8 0.0045397 0.0023702 0.1042727 0.0131201 0.0146894 0.8838099 0.1372862 0.8610063 0.1470878 98.4967056 62.7210871  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 61.85 0.0045837 0.0031951 0.0833541 0.0095627 0.014099 0.8837654 0.1327968 0.8509893 0.1531426 98.6790429 64.5002104  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 61.78 0.0045569 0.0049222 0.062219 0.0084284 0.0142086 0.8734968 0.1322524 0.8730597 0.1614401 98.6608389 63.0763047  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 61.96 0.0039646 0.003498 0.0568981 0.0060669 0.0132955 0.8796148 0.1308621 0.8838903 0.1768073 98.4650497 64.0126818  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 60.99 0.0038445 0.0031094 0.0522608 0.0056387 0.0132839 0.8652885 0.1307785 0.9016457 0.1693856 98.6207657 63.8408635  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 61.35 0.0040105 0.0034039 0.0440132 0.0047792 0.0135237 0.8728035 0.1312326 0.9098918 0.1706946 98.518547 62.9935602  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 61.75 0.0043733 0.0046009 0.026492 0.0052212 0.014012 0.8675807 0.130819 0.9266966 0.1826399 98.7397843 64.1623991  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 62.28 0.0043249 0.0047782 0.0218974 0.0040995 0.0143683 0.8625852 0.1308405 0.9487409 0.1931566 98.7359872 63.4883723  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 62.94 0.0038474 0.0030495 0.0201395 0.0033228 0.0134489 0.8629694 0.1290869 0.9981302 0.1914804 98.8016153 64.1297333  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 61.76 0.0041072 0.0033424 0.0158227 0.0026893 0.0133502 0.8573334 0.1276692 1.047446 0.1910962 98.3187258 63.3461118  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 61.1 0.0041731 0.0036785 0.0062572 0.0023276 0.0139983 0.8602304 0.1264445 1.0244999 0.2057856 98.830037 65.3740103  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 3 3 0.0 0.0 62.15 0.0041983 0.0031979 -0.0050313 0.0021432 0.0137309 0.8451763 0.1292072 1.0293855 0.193401 97.7351535 64.2512525  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 3 3 0.0 0.0 60.75 0.0040365 0.0031799 -0.0102366 0.0016413 0.0141591 0.8352878 0.1294339 1.0751039 0.184945 98.3167609 63.4992325  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 3 3 0.0 0.0 62.25 0.0044676 0.0063665 -0.0264007 0.0016662 0.0142648 0.8403709 0.1273534 1.0823409 0.1902047 98.2201369 65.4523601  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 3 3 0.0 0.0 61.94 0.0048663 0.0044257 -0.0390158 0.0020842 0.0149296 0.8276566 0.1298274 1.13736 0.1737453 97.9552442 63.5141893  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 3 3 0.0 0.0 60.84 0.0057148 0.0081535 -0.0648085 0.0077777 0.0152899 0.8268026 0.1299584 1.1737576 0.1814169 97.6106453 65.0082827  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 3 3 0.0 0.0 61.23 0.005017 0.0059653 -0.0473101 0.0075458 0.0139915 0.8125535 0.1297825 1.2148706 0.1638472 97.9639492 63.1922891  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 3 3 0.0 0.0 61.74 0.0042908 0.0034106 -0.0247543 0.0041258 0.013783 0.805181 0.1271612 1.21565 0.1610385 98.1168404 64.0437674  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 3 3 0.0 0.0 61.87 0.0039964 0.0027517 -0.0243412 0.0047832 0.0137292 0.7909733 0.1250122 1.2432023 0.1490309 98.4845922 65.3181365  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 3 3 0.0 0.0 60.29 0.0042454 0.0029076 -0.0297568 0.0065271 0.0142987 0.79519 0.1245199 1.259937 0.158211 98.314145 64.492959  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 3 3 0.0 0.0 61.69 0.010753 0.028743 -0.0994819 0.040216 0.016259 0.7790594 0.1247943 1.3108137 0.1496453 98.5578815 64.6745935  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 4 4 40.0 0.2 63.15 0.0055701 0.0067924 -0.0268096 0.0129902 0.0156499 0.7723678 0.1256311 1.3574958 0.1431407 98.7062676 63.9506343  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 40.0} 
3968 4 4 40.0 0.2 62.43 0.0046502 0.0040184 -0.0099581 0.0060252 0.0152088 0.7781268 0.1254802 1.3734215 0.1529926 98.4610235 64.3110898  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 40.0} 
4096 4 4 40.0 0.2 61.6 0.0046457 0.0031625 -0.0150385 0.0037612 0.0144848 0.7881617 0.1264108 1.4351097 0.1670876 98.2368427 63.669365  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 40.0} 
4224 4 4 40.0 0.2 60.9 0.005066 0.0065648 -0.0248558 0.0057728 0.0151313 0.7811755 0.125142 1.5036984 0.1661418 98.2591895 65.2643067  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 40.0} 
4352 4 4 40.0 0.2 58.85 0.0047518 0.0043896 -0.0215913 0.005961 0.0150957 0.7813361 0.1244987 1.6125663 0.166155 98.2711046 65.811439  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 40.0} 
4480 4 4 46.0 0.28 60.04 0.004241 0.0036757 -0.0040488 0.0046073 0.0143792 0.7863557 0.1256801 1.6382801 0.166277 98.4199542 64.7096995  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 46.0} 
4608 5 5 46.0 0.28 60.49 0.0043495 0.0032071 -0.0099392 0.0032629 0.0148151 0.7783142 0.1253633 1.7435793 0.1706276 98.4539925 64.7904112  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 46.0} 
