0 0.0 0.0 0.0 0.34 0.0170308 0.0 0.0001121 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
3968 6.625 0.0 0.0 6.26 0.0059892 0.0035601 0.0006821 0.0007788 -0.00353 0.0098214 1.4281398 1.1725832 0.3115399 0.0111423 0.8547532 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00195} 
4096 6.69531 0.0 0.0 6.32 0.0054456 0.0027767 0.0006685 0.0007559 -0.0032305 0.0071819 1.4271776 1.1837463 0.3567956 0.0101693 0.8291239 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00207} 
4224 6.73438 0.0 0.0 6.2 0.0054363 0.0026749 0.0007015 0.0008356 -0.0045533 0.0051965 1.4200167 1.181144 0.4186225 0.0099673 0.7948323 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00208} 
4352 6.85156 0.0 0.0 6.25 0.0059281 0.0029522 0.0006983 0.0008748 -0.0039086 0.0060646 1.4027207 1.1868287 0.4604566 0.0107332 0.7687975 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.0022} 
4480 6.90625 0.0 0.0 6.12 0.0054656 0.0023801 0.0006852 0.0008514 -0.0050399 0.0048143 1.4028945 1.2086282 0.4834572 0.0104748 0.7524546 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00221} 
4608 6.98438 0.0 0.0 6.13 0.0064916 0.0049344 0.0006975 0.0008848 -0.0036488 0.0055439 1.4108704 1.2387446 0.5200638 0.0119064 0.7238669 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00222} 
4736 7.11719 0.0 0.0 6.07 0.0067643 0.006953 0.0007202 0.0008751 -0.0040064 0.0064134 1.4194748 1.2648931 0.4989299 0.0118205 0.7189136 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00227} 
4864 7.32812 0.0 0.0 6.29 0.0077825 0.008935 0.0007817 0.0009693 -0.0048819 0.008297 1.409131 1.2639112 0.4445569 0.0129405 0.7471344 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00223} 
4992 7.46094 0.0 0.0 6.2 0.0079703 0.007036 0.0008028 0.0009774 -0.0063376 0.0058478 1.4024393 1.2465238 0.4088313 0.0135452 0.7593725 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00231} 
5120 7.77344 0.0 0.0 6.37 0.0085238 0.0084996 0.0007802 0.0010336 -0.0046044 0.0078373 1.3968751 1.231349 0.347163 0.0141221 0.8042505 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00252} 
5248 8.0625 0.0 0.0 6.11 0.0087288 0.0087809 0.000727 0.0009832 -0.0051148 0.0075407 1.3949267 1.2050507 0.2822312 0.0143823 0.8455969 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00273} 
5376 8.4375 0.0 0.0 6.03 0.0082755 0.0106553 0.0007072 0.0009575 -0.0031827 0.009473 1.3943507 1.195437 0.231849 0.0139693 0.8810967 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00279} 
5504 8.73438 0.0 0.0 5.98 0.0076474 0.0111161 0.0006812 0.0009467 -0.0031316 0.0096527 1.388451 1.1898129 0.179952 0.0129896 0.91609 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00273} 
5632 9.10938 0.0 0.0 5.88 0.0086256 0.0129318 0.0007106 0.0009636 -0.0037883 0.0110998 1.3691493 1.1861116 0.1971564 0.014564 0.9070618 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00264} 
5760 9.32031 0.0 0.0 5.91 0.0083947 0.0100784 0.000695 0.0009502 -0.0025837 0.008092 1.367224 1.1785685 0.1803732 0.0146838 0.9190083 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00255} 
5888 9.5 0.0 0.0 5.85 0.0079062 0.0085236 0.0006957 0.0009 -0.003556 0.0086317 1.3682034 1.1876424 0.2270578 0.0147415 0.89856 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00278} 
6016 9.71094 0.0 0.0 5.92 0.0078217 0.0070253 0.0007115 0.0009606 -0.003459 0.0080463 1.3663977 1.1845259 0.2234364 0.0142027 0.8985508 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00293} 
6144 9.86719 0.0 0.0 5.89 0.0076451 0.0058707 0.0006688 0.0009868 -0.0033482 0.0065844 1.3643501 1.1751924 0.2371591 0.013895 0.889664 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00296} 
6272 10.14844 0.0 0.0 6.22 0.008153 0.0062873 0.0006904 0.0010207 -0.0038324 0.0081732 1.3631888 1.1645151 0.2117397 0.0147654 0.9027406 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00299} 
6400 10.4375 0.0 0.0 6.24 0.0083329 0.0060635 0.0006435 0.0010305 -0.0031375 0.0082991 1.3519871 1.1627588 0.1777525 0.0144711 0.9183366 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00288} 
6528 10.64062 0.0 0.0 6.02 0.0077116 0.0048216 0.0006274 0.0009822 -0.0033865 0.0080862 1.3430342 1.1622831 0.1611572 0.0140942 0.9245453 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00302} 
6656 10.78906 0.0 0.0 5.95 0.0081895 0.0046076 0.0006552 0.0009852 -0.0042887 0.0062393 1.344111 1.1738964 0.1649016 0.014536 0.9235944 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00298} 
6784 10.92188 0.0 0.0 5.86 0.0081967 0.0038035 0.0006495 0.0009155 -0.0036188 0.0055029 1.3477114 1.1789522 0.1593452 0.0147552 0.9228085 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00297} 
6912 11.0625 0.0 0.0 6.2 0.007599 0.0027664 0.0006298 0.0008947 -0.0025712 0.005923 1.3500113 1.1914475 0.1701938 0.0138615 0.9087417 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00288} 
7040 11.125 0.0 0.0 5.76 0.0072081 0.0026665 0.0006388 0.0009218 -0.003558 0.0043837 1.3529702 1.1999529 0.1991424 0.0135504 0.888329 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00289} 
7168 11.21094 0.0 0.0 5.91 0.0064494 0.0023403 0.0006452 0.0008688 -0.0043349 0.0044962 1.3630887 1.2279565 0.2643369 0.0124388 0.8547006 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.0029} 
7296 11.29688 0.0 0.0 6.25 0.0060139 0.0025599 0.0006592 0.0009294 -0.003947 0.0038932 1.3635069 1.231894 0.3015447 0.0113977 0.8269146 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.0029} 
7424 11.32031 0.0 0.0 6.04 0.0055785 0.0027609 0.0006664 0.00091 -0.0038772 0.002791 1.362597 1.2571558 0.3427259 0.0109608 0.8042326 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00292} 
7552 11.35938 0.0 0.0 5.96 0.0052079 0.0027548 0.0006625 0.0008794 -0.0034154 0.0025692 1.3578125 1.2676736 0.3866721 0.0100584 0.7779963 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00291} 
7680 11.36719 0.0 0.0 6.25 0.0050981 0.0028362 0.0006918 0.0007995 -0.0046061 0.0021178 1.3496718 1.283004 0.4261497 0.0097767 0.7591177 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00291} 
7808 11.39062 0.0 0.0 6.03 0.0049754 0.002848 0.0007038 0.0007601 -0.0055825 0.0019572 1.3461396 1.299835 0.4768585 0.0098502 0.7315015 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00294} 
7936 11.39844 0.0 0.0 6.13 0.0056026 0.0033193 0.0007583 0.0007112 -0.007093 0.0016838 1.3456647 1.2945553 0.5061542 0.0102978 0.721562 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00296} 
8064 11.51562 0.0 0.0 6.42 0.010117 0.0211469 0.0008301 0.0008501 -0.0053005 0.0152303 1.3413105 1.2820457 0.5368836 0.0134513 0.6928495 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00309} 
8192 11.77344 0.0 0.0 6.44 0.0108374 0.0085718 0.0008912 0.0011289 -0.0100081 0.0160824 1.3290311 1.2437187 0.4340485 0.0154071 0.7408259 {} {'explored_rooms_count': 23, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00345} 
8320 12.34375 0.0 0.0 6.8 0.009496 0.0049115 0.00086 0.0012899 -0.0042602 0.0140687 1.3248802 1.2051471 0.2271852 0.0150578 0.8747987 {} {'explored_rooms_count': 23, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.0041} 
8448 12.99219 0.0 0.0 7.1 0.0079998 0.0042379 0.000782 0.001257 -0.0037342 0.0089402 1.3263658 1.1923842 0.1208882 0.0132944 0.9413511 {} {'explored_rooms_count': 24, 'episodic_explored_rooms_count': 19, 'episodic_explored_area': 0.00341} 
8576 13.53125 0.0 0.0 6.68 0.0085767 0.0137527 0.0007182 0.001181 -0.0046199 0.0106075 1.3219588 1.1781775 0.1022802 0.0130309 0.9531452 {} {'explored_rooms_count': 25, 'episodic_explored_rooms_count': 19, 'episodic_explored_area': 0.00272} 
8704 13.89844 0.0 0.0 6.41 0.0076667 0.0068226 0.0006571 0.0010973 -0.0033344 0.0065713 1.3184847 1.1718751 0.1027327 0.0127946 0.9536137 {} {'explored_rooms_count': 25, 'episodic_explored_rooms_count': 11, 'episodic_explored_area': 0.00234} 
8832 14.26562 0.0 0.0 6.39 0.0073769 0.0045575 0.0006249 0.0010656 -0.005046 0.0062791 1.3166372 1.1663833 0.1124285 0.0133593 0.948019 {} {'explored_rooms_count': 27, 'episodic_explored_rooms_count': 11, 'episodic_explored_area': 0.0023} 
8960 14.63281 0.0 0.0 6.23 0.0069059 0.0041025 0.0006013 0.0010784 -0.0033274 0.0056896 1.3093982 1.1570869 0.0961583 0.0127295 0.9563309 {} {'explored_rooms_count': 27, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00266} 
9088 15.03906 0.0 0.0 6.21 0.0068307 0.0058243 0.0006269 0.0010915 -0.0033403 0.006529 1.3004433 1.155265 0.0931175 0.0129142 0.9585582 {} {'explored_rooms_count': 28, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00303} 
9216 15.52344 0.0 0.0 6.23 0.0058142 0.0034556 0.0006582 0.0011163 -0.0030377 0.0049895 1.2960845 1.1554415 0.0947679 0.0111907 0.9591892 {} {'explored_rooms_count': 28, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00293} 
9344 15.89062 0.0 0.0 6.03 0.005732 0.003203 0.0006453 0.0011017 -0.0030827 0.0034417 1.2934194 1.1559114 0.0960633 0.0108336 0.9577496 {} {'explored_rooms_count': 28, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00279} 
9472 16.14844 0.0 0.0 6.07 0.0064392 0.0056751 0.0006187 0.0010795 -0.0033612 0.0036179 1.2810104 1.1515771 0.1014698 0.0116495 0.9555278 {} {'explored_rooms_count': 28, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00277} 
9600 16.47656 0.0 0.0 6.09 0.0066796 0.0071915 0.0006 0.0010839 -0.0038944 0.0044335 1.2777073 1.1437521 0.1115111 0.0121847 0.9511281 {} {'explored_rooms_count': 31, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00295} 
9728 16.6875 0.0 0.0 5.91 0.0064159 0.0048565 0.0005597 0.0010367 -0.0027665 0.0030473 1.2767081 1.138903 0.1068689 0.012184 0.9532746 {} {'explored_rooms_count': 32, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.0031} 
9856 16.92188 0.0 0.0 5.91 0.0062221 0.0036813 0.0005843 0.0010817 -0.003416 0.0032238 1.2746572 1.145742 0.1186721 0.0118896 0.9450284 {} {'explored_rooms_count': 32, 'episodic_explored_rooms_count': 16, 'episodic_explored_area': 0.00321} 
9984 17.19531 0.0 0.0 5.85 0.0064916 0.0040312 0.0006211 0.0010818 -0.0032021 0.0031589 1.2737336 1.1274094 0.1169153 0.0120055 0.9471185 {} {'explored_rooms_count': 32, 'episodic_explored_rooms_count': 16, 'episodic_explored_area': 0.00325} 
10112 17.42188 0.0 0.0 5.99 0.0061792 0.0044743 0.0006051 0.0010696 -0.0042517 0.0031728 1.2688181 1.1311486 0.1135311 0.0118581 0.9504325 {} {'explored_rooms_count': 32, 'episodic_explored_rooms_count': 16, 'episodic_explored_area': 0.0034} 
10240 17.64844 0.0 0.0 6.12 0.0062278 0.0062569 0.0005924 0.0010582 -0.0042348 0.0037379 1.2618127 1.1364766 0.106856 0.0116176 0.9522871 {} {'explored_rooms_count': 32, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00357} 
10368 17.85156 0.0 0.0 6.38 0.0066011 0.0060001 0.0005936 0.0009641 -0.0043991 0.0032486 1.2557859 1.1313236 0.1033254 0.0122269 0.9536954 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00353} 
10496 18.125 0.0 0.0 6.37 0.0063947 0.0053282 0.0006005 0.0010575 -0.0043359 0.0037481 1.2600981 1.1329033 0.1065879 0.0121993 0.9521428 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00349} 
10624 18.29688 0.0 0.0 6.4 0.0068189 0.0054563 0.0006253 0.0010157 -0.00394 0.0030146 1.2549796 1.1319799 0.1190215 0.012763 0.9466623 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00342} 
10752 18.53906 0.0 0.0 6.55 0.0071607 0.0051937 0.0005893 0.0009793 -0.0040106 0.0039487 1.2475642 1.1346756 0.1323263 0.0136888 0.9398395 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00342} 
10880 18.77344 0.0 0.0 6.39 0.0069584 0.0052836 0.000587 0.000957 -0.0044666 0.0037943 1.2412383 1.1368369 0.1307779 0.0133564 0.9408413 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00354} 
11008 18.98438 0.0 0.0 6.52 0.0070438 0.0053327 0.0006195 0.0010196 -0.0045062 0.0035532 1.2416429 1.1334717 0.1528014 0.013419 0.931575 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00373} 
11136 19.22656 0.0 0.0 6.51 0.0070748 0.0046108 0.0006411 0.0010005 -0.0042359 0.0038137 1.2442817 1.1256711 0.1817412 0.0134205 0.9196304 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00402} 
11264 19.42969 0.0 0.0 6.69 0.0073398 0.0048459 0.0006314 0.0010232 -0.0040244 0.0035421 1.2452152 1.120816 0.2120394 0.0137827 0.903774 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.004} 
11392 19.63281 0.0 0.0 6.41 0.0068832 0.0043306 0.000666 0.0011067 -0.0046448 0.0032294 1.2483836 1.1167887 0.2182486 0.0131234 0.9002747 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00392} 
11520 19.82812 0.0 0.0 6.33 0.007133 0.0048515 0.0006567 0.0009924 -0.0049811 0.003463 1.247594 1.1291033 0.1873811 0.0134864 0.9143054 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00373} 
11648 20.125 0.0 0.0 6.58 0.0072998 0.0045927 0.0006714 0.0010398 -0.0039931 0.0043158 1.2426421 1.133895 0.1694233 0.0133898 0.923985 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00359} 
11776 20.38281 0.0 0.0 6.36 0.0074315 0.0062968 0.0006578 0.0010793 -0.0043347 0.0052792 1.2454633 1.1443737 0.1519478 0.0135861 0.9333501 {} {'explored_rooms_count': 34, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00354} 
11904 20.5625 0.0 0.0 6.09 0.0070781 0.0057629 0.0006316 0.0010246 -0.0051348 0.0045992 1.2423322 1.1452268 0.1356441 0.0133817 0.9381892 {} {'explored_rooms_count': 34, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00363} 
12032 20.85156 0.0 0.0 6.25 0.0074741 0.0061029 0.0006468 0.0010806 -0.0043047 0.0051566 1.2434842 1.1407548 0.1198134 0.0139797 0.9449934 {} {'explored_rooms_count': 34, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00369} 
12160 21.09375 0.0 0.0 6.34 0.0073545 0.0059124 0.0006324 0.0011077 -0.0057561 0.0047663 1.2452392 1.135915 0.1140273 0.0134643 0.948654 {} {'explored_rooms_count': 35, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00358} 
12288 21.35938 0.0 0.0 6.22 0.0075598 0.0060751 0.000612 0.0010497 -0.0039263 0.0051127 1.2468048 1.1344175 0.1251116 0.0140114 0.942541 {} {'explored_rooms_count': 35, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00347} 
12416 21.58594 0.0 0.0 5.98 0.0080171 0.0079867 0.0006139 0.0010233 -0.0054076 0.0050093 1.247208 1.1238249 0.1211496 0.014593 0.9440682 {} {'explored_rooms_count': 35, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00344} 
12544 21.82031 0.0 0.0 6.03 0.0081393 0.0076177 0.0006354 0.0010875 -0.0043256 0.0050631 1.244306 1.1298525 0.111506 0.0146087 0.9493559 {} {'explored_rooms_count': 37, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00361} 
12672 22.125 0.0 0.0 5.94 0.008531 0.0069027 0.0006407 0.0010684 -0.0049963 0.0056834 1.2411155 1.1220916 0.1140005 0.0152857 0.9487083 {} {'explored_rooms_count': 38, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00345} 
