0 0.0 0.0 0.0 0.34 0.0170308 0.0 0.0001121 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.64844 0.0 0.0 6.53 0.7804245 0.026073 0.0003223 0.0003997 -0.0037955 5.437417 1.7267533 1.3058931 0.5352506 0.1340357 0.6116579 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00021} 
256 0.82812 0.0 0.0 5.88 0.1192738 0.0397294 0.0005652 0.0005162 -0.0032506 0.9849033 1.6804724 1.3583841 0.6600609 0.0881842 0.584577 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00034} 
384 0.91406 0.0 0.0 5.98 0.0437325 0.0148667 0.0006074 0.0005119 -0.0020829 0.3618548 1.661664 1.3593614 0.6839735 0.0626367 0.552893 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00037} 
512 0.96094 0.0 0.0 6.15 0.0298574 0.0131478 0.0006228 0.000486 -0.0025942 0.2253452 1.6577253 1.3527809 0.6842082 0.0501939 0.5494628 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00042} 
640 0.96875 0.0 0.0 6.23 0.0262011 0.0145884 0.0006643 0.0005336 -0.0050103 0.1486798 1.6562041 1.3409046 0.6813069 0.0416749 0.5569481 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00043} 
768 1.0 0.0 0.0 6.06 0.0292716 0.0320996 0.0006833 0.000604 -0.0050152 0.1218114 1.6569533 1.3177268 0.6786239 0.0429292 0.569047 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00048} 
896 1.13281 0.0 0.0 6.38 0.0334279 0.031326 0.0007187 0.000677 -0.0039356 0.1965656 1.6449209 1.2974639 0.6664898 0.0420446 0.5863081 {} {'explored_rooms_count': 5, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00067} 
1024 1.52344 0.0 0.0 6.5 0.0328414 0.0356639 0.0007651 0.0008868 -0.0029599 0.3205776 1.5835972 1.2854251 0.6079369 0.0419854 0.6387496 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00109} 
1152 1.82031 0.0 0.0 6.51 0.0273852 0.0332612 0.0007685 0.000826 -0.0037261 0.2022559 1.5792464 1.2708918 0.5096853 0.0369614 0.7251996 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00145} 
1280 1.96875 0.0 0.0 6.59 0.0184411 0.0195605 0.0007375 0.0007229 -0.0020505 0.1154128 1.5725342 1.2533471 0.4932831 0.028949 0.7470669 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0016} 
1408 2.14844 0.0 0.0 6.61 0.0144414 0.0142508 0.0007261 0.0007355 -0.0030901 0.1061537 1.5743839 1.2475845 0.5279435 0.0243696 0.7250211 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00163} 
1536 2.28125 0.0 0.0 6.59 0.0097447 0.0088848 0.0007244 0.000734 -0.0020461 0.0701293 1.5744277 1.2420216 0.5163451 0.0173414 0.727655 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00178} 
1664 2.38281 0.0 0.0 6.29 0.008974 0.0095355 0.0007364 0.0007868 -0.0026188 0.0451325 1.5761393 1.2410897 0.5640184 0.0150191 0.6903352 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00172} 
1792 2.42969 0.0 0.0 6.23 0.0072901 0.008617 0.0007035 0.0007391 -0.0038232 0.0328866 1.5446084 1.2356518 0.5854465 0.012865 0.670436 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00172} 
1920 2.58594 0.0 0.0 6.14 0.0087729 0.0205189 0.0007119 0.0007797 -0.0023462 0.0446305 1.5256478 1.2269166 0.5769294 0.0128827 0.6693766 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00179} 
2048 2.66406 0.0 0.0 5.91 0.0090582 0.0192642 0.0007161 0.0007649 -0.0032978 0.0311922 1.5198824 1.2173737 0.5897391 0.0140744 0.6686055 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00181} 
2176 2.80469 0.0 0.0 6.03 0.0080295 0.012254 0.0007372 0.0008064 -0.0022644 0.0312325 1.5215708 1.2166586 0.5724728 0.0134955 0.6843405 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00177} 
2304 3.0 0.0 0.0 6.0 0.00823 0.0086052 0.0007243 0.0007919 -0.0027198 0.024945 1.5196419 1.2115508 0.5363924 0.0140109 0.7079607 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00175} 
2432 3.125 0.0 0.0 6.01 0.0086572 0.0149991 0.0007016 0.0007543 -0.0032566 0.0242151 1.51407 1.1977569 0.5053866 0.0145271 0.7346964 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00173} 
2560 3.35938 0.0 0.0 6.13 0.0102721 0.016097 0.0007166 0.0008492 -0.0025571 0.0247442 1.5154829 1.1923081 0.4467013 0.0158402 0.7708075 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00163} 
2688 3.66406 0.0 0.0 6.16 0.0109152 0.016299 0.0007014 0.0008485 -0.0033403 0.0299762 1.513515 1.1894946 0.3441707 0.0179695 0.8349782 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00171} 
2816 3.94531 0.0 0.0 6.29 0.012549 0.0242048 0.0007184 0.0008967 -0.0028358 0.0263784 1.5097641 1.1937312 0.3051967 0.0183498 0.8569579 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00161} 
2944 4.25 0.0 0.0 6.33 0.011236 0.0148504 0.0007187 0.0008848 -0.0037959 0.0501963 1.5109487 1.1934277 0.2699839 0.0183525 0.8753277 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00169} 
3072 4.53906 0.0 0.0 6.41 0.0124696 0.0140821 0.000726 0.0008938 -0.003446 0.0376287 1.5104398 1.1897241 0.2527419 0.0191217 0.8825791 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00168} 
3200 4.95312 0.0 0.0 6.6 0.010934 0.0090436 0.0006882 0.000864 -0.0043093 0.0372732 1.510136 1.1892869 0.2250023 0.0184922 0.8964538 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00171} 
3328 5.27344 0.0 0.0 6.53 0.0104312 0.0152725 0.0006985 0.0008377 -0.0039368 0.0309704 1.5104688 1.1812208 0.2264702 0.0172556 0.8939839 {} {'explored_rooms_count': 12, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00173} 
3456 5.63281 0.0 0.0 6.81 0.0095755 0.0179171 0.000695 0.0008234 -0.0041761 0.0305209 1.48832 1.1782473 0.207402 0.0156706 0.9048854 {} {'explored_rooms_count': 14, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00176} 
3584 5.94531 0.0 0.0 6.75 0.0085081 0.0128543 0.0006971 0.00084 -0.0038538 0.0251602 1.4675543 1.1785075 0.2341097 0.0146834 0.8907917 {} {'explored_rooms_count': 15, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00184} 
3712 6.23438 0.0 0.0 6.63 0.0073877 0.0106739 0.0006872 0.0008442 -0.0038271 0.0176086 1.4617829 1.1781384 0.2441366 0.0128094 0.8880854 {} {'explored_rooms_count': 17, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00185} 
3840 6.48438 0.0 0.0 6.29 0.0068709 0.0075328 0.0006798 0.0008084 -0.0045336 0.0200535 1.4338251 1.1711713 0.2782812 0.0128401 0.8701443 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00197} 
