128 0 0 0.0 0.0 36.75 0.0540283 0.009552 0.0 0.0 -0.0035462 0.0510603 0.0 1.160027 0.0208456 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 37.54 0.0384012 0.0181789 0.0 0.0 -0.004383 0.0429785 0.0 1.0942758 0.0190733 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 38.43 0.0337042 0.0232679 0.0 0.0 -0.0054935 0.0968881 0.0 1.0284264 0.0189943 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 38.67 0.0244235 0.015004 0.0 0.0 -0.0066534 0.1116725 0.0 0.9640606 0.0197056 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 37.95 0.0171911 0.0087479 0.0 0.0 -0.0078779 0.1027618 0.0 0.9339282 0.0188754 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 42.8 0.0137869 0.0070189 0.0 0.0 -0.0079427 0.0935195 0.0 0.9097061 0.0181961 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 0 0 0.0 0.0 51.24 0.0120116 0.0062655 0.0 0.0 -0.0061235 0.0690882 0.0 0.8922979 0.017322 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 50.01 0.0107878 0.0057388 0.0 0.0 -0.0066404 0.0590105 0.0 0.8772737 0.0167062 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 50.89 0.0099039 0.0051699 0.0 0.0 -0.0072445 0.0473611 0.0 0.8693285 0.0158299 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 53.3 0.0090397 0.0052655 0.0 0.0 -0.0078756 0.0373188 0.0 0.8666479 0.015402 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 71.6 0.0091071 0.0076323 0.0 0.0 -0.0086064 0.0346923 0.0 0.861651 0.0151031 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 70.84 0.0086076 0.0061499 0.0 0.0 -0.0104124 0.0282149 0.0 0.8594291 0.0143201 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 70.65 0.0088192 0.0081851 0.0 0.0 -0.0119809 0.0229898 0.0 0.8511372 0.0149445 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 2 2 0.0 0.0 70.37 0.007911 0.0063224 0.0 0.0 -0.0134451 0.0191577 0.0 0.8440344 0.0140513 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 2 2 0.0 0.0 69.37 0.0076364 0.0061482 0.0 0.0 -0.01432 0.014947 0.0 0.844883 0.0140868 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 2 2 0.0 0.0 67.23 0.0083441 0.0071276 0.0 0.0 -0.0141835 0.0155472 0.0 0.8408248 0.0140223 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 2 2 0.0 0.0 65.66 0.0082995 0.0068681 0.0 0.0 -0.0145269 0.0143443 0.0 0.8309162 0.0151615 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 2 2 0.0 0.0 63.87 0.0087868 0.0074049 0.0 0.0 -0.0154963 0.0112974 0.0 0.8173896 0.014791 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 63.63 0.0086442 0.006623 0.0 0.0 -0.0164996 0.0110195 0.0 0.814705 0.0157518 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 3 3 0.0 0.0 67.19 0.0089157 0.0062122 0.0 0.0 -0.0149075 0.0080216 0.0 0.8101335 0.0157234 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 4 4 0.0 0.0 69.4 0.0089137 0.0058227 0.0 0.0 -0.0161482 0.0050255 0.0 0.8049598 0.0144619 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 4 4 0.0 0.0 69.92 0.009042 0.0072457 0.0 0.0 -0.0155994 0.0046699 0.0 0.79808 0.0150531 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 4 4 0.0 0.0 71.64 0.0118484 0.0288388 0.0 0.0 -0.0068936 0.0191121 0.0 0.7937233 0.0159305 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 4 4 0.0 0.0 73.08 0.0092013 0.0108032 0.0 0.0 -0.0086447 0.0176754 0.0 0.7930499 0.0147317 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 4 4 0.0 0.0 73.51 0.008479 0.0063494 0.0 0.0 -0.0095408 0.012613 0.0 0.7831254 0.0150087 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 5 5 0.0 0.0 74.67 0.009144 0.0067796 0.0 0.0 -0.0102302 0.0167418 0.0 0.7831075 0.0153332 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 5 5 0.0 0.0 73.01 0.0095439 0.0111288 0.0 0.0 -0.0110427 0.0115721 0.0 0.7807228 0.0158444 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 5 5 0.0 0.0 74.73 0.0250993 0.0545379 0.0 0.0 -0.0004911 0.2615862 0.0 0.781851 0.0189155 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 6 6 0.0 0.0 72.79 0.0119264 0.0116529 0.0 0.0 -0.0134348 0.0466655 0.0 0.7683584 0.0170264 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 6 6 0.0 0.0 74.35 0.0103923 0.0082485 0.0 0.0 -0.0139072 0.0304583 0.0 0.775236 0.0166873 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 6 6 0.0 0.0 74.06 0.0096673 0.0066348 0.0 0.0 -0.0155231 0.0224571 0.0 0.776394 0.0165159 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 6 6 0.0 0.0 74.01 0.0096441 0.0077155 0.0 0.0 -0.0131721 0.0265396 0.0 0.7691848 0.0167889 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 7 7 0.0 0.0 74.65 0.0098635 0.0076543 0.0 0.0 -0.0152319 0.0188312 0.0 0.7620093 0.0166595 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 7 7 0.0 0.0 74.57 0.0092977 0.0071513 0.0 0.0 -0.0146045 0.0153565 0.0 0.7572578 0.0154858 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
